Node,Manufacturer,Part Number,Description,Quantity,Unit Price (USD),Total Price (USD),Notes
Window Node,Raytac,MDBT50Q-1M,nRF52840 module,1,5.50,5.50,Primary MCU + BLE
Window Node,Semtech,LR1121,Sub-GHz transceiver,1,6.20,6.20,868 MHz mesh
Window Node,Trinamic,TMC2209,Stepper motor driver,1,3.80,3.80,Window actuator
Window Node,Various,NEMA17 Stepper,200 steps/rev stepper motor,1,4.00,4.00,Window actuator
Window Node,Littelfuse,59740-1-S-00-A,Reed switch,1,0.50,0.50,Window state
Window Node,Texas Instruments,DRV8871,Relay driver,1,1.20,1.20,Purifier relay
Window Node,Texas Instruments,TPS63020,Buck-boost 3.3V,1,1.90,1.90,Power regulation
Window Node,Texas Instruments,INA260,Current voltage monitor,1,1.80,1.80,Battery monitoring
Window Node,Vishay,VEML7700,Ambient light sensor,1,1.50,1.50,Light sensing
Window Node,WorldSemi,SK6812-2020,RGB LED,1,0.15,0.15,Status indicator
Window Node,Various,Passives,Resistors capacitors inductors,1,1.50,1.50,R/C/L
Window Node,Various,PCB,4-layer FR4 40x40mm,1,0.60,0.60,PCB
Window Node,Various,Connectors,JST + screw terminals,1,0.85,0.85,Connectors
Window Node,Various,Antenna,868 MHz chip antenna,1,0.50,0.50,Sub-GHz antenna
Window Node,Various,Enclosure,IP54 3D-printed enclosure,1,2.00,2.00,Enclosure
,,,,Total Window Node,,22.00,
