Item,Qty,Reference,Description,Manufacturer Part Number
1,1,U1,ESP32-S3-WROOM-1-N16R8,ESP32-S3-WROOM-1-N16R8
2,2,U2-U3,Hall flow sensor,YF-S201
3,3,SNS1-3,Capacitive liquid level probe generic,CAP-LEVEL-PROBE
4,1,P1,24V diaphragm pump,DP-24V-3L
5,1,P2,12V peristaltic detergent pump,PERI-12V-100
6,2,V1-V2,Latching solenoid valve,VALVE-LATCH-12V
7,1,U4,INA260 current/power monitor,INA260AIPWR
8,1,U5,2.4in TFT LCD,ILI9341-2.4
9,1,U6,UV-C LED array 275nm,UVC-275-ARRAY
10,1,F1,Thermal fuse 72C,G4A01172C
