required_items,confirmed_items,departure_in_minutes,eta_delta_minutes,route_minutes,pm25_ug_m3,voc_index,vibration_rms,tamper_score,separation_m,late_label,readiness_label,exposure_label
6,5,18,14,36,36.8,290,0.84,0.88,14.88,1,0,1
6,4,4,15,67,23.5,262,1.15,0.05,2.12,1,0,1
7,5,43,1,25,55.1,208,1.07,0.35,4.23,0,0,1
4,4,28,13,14,55.8,30,1.42,0.32,17.42,1,1,1
5,2,11,11,17,23.3,300,0.1,0.78,3.0,1,0,1
7,7,27,2,74,76.9,234,1.35,0.71,4.1,0,1,1
5,4,12,9,81,48.5,22,0.6,0.07,5.27,1,0,1
4,2,8,0,43,59.8,240,1.1,0.38,6.79,0,0,1
7,4,41,16,60,15.2,271,1.58,0.6,8.65,1,0,1
7,6,9,17,68,73.9,307,0.11,0.1,9.4,1,0,1
5,2,11,6,35,13.8,170,0.49,0.79,2.88,0,0,0
4,3,41,0,80,69.8,293,0.9,0.26,4.02,0,0,1
7,7,16,6,28,20.4,193,0.09,0.35,3.0,0,1,1
6,3,43,6,17,24.4,310,1.42,0.55,7.59,0,0,1
7,6,35,9,83,19.2,49,0.55,0.05,14.93,1,0,0
6,4,27,13,54,69.0,287,0.92,0.63,13.52,1,0,1
7,5,8,18,22,52.8,275,1.2,0.8,2.69,1,0,1
7,7,30,3,14,22.8,245,1.14,0.92,13.63,0,1,1
3,0,44,1,14,59.3,157,1.05,0.76,1.13,0,0,1
4,1,36,-1,29,66.3,37,1.51,0.05,1.23,0,0,1
5,5,18,2,81,75.7,32,1.64,0.43,16.17,0,1,1
7,5,34,17,74,21.2,234,1.36,0.41,8.52,1,0,1
5,2,6,1,42,47.3,313,0.28,0.92,7.87,1,0,1
3,2,24,14,79,25.6,293,1.48,0.13,10.1,1,0,1
3,3,44,0,90,36.3,304,1.68,0.53,6.7,0,1,1
7,6,31,7,64,8.6,201,0.12,0.06,11.33,0,0,1
4,2,4,4,33,33.0,131,1.58,0.59,5.02,1,0,1
5,2,42,11,51,37.3,119,1.66,0.43,8.02,1,0,1
3,0,22,10,65,35.0,37,0.62,0.33,16.05,1,0,1
6,4,23,-2,44,15.2,87,1.18,0.9,16.59,0,0,1
7,4,11,14,56,47.1,171,0.37,0.13,4.61,1,0,1
7,5,4,5,11,12.0,310,1.75,0.14,6.3,1,0,1
7,5,22,15,66,6.8,265,1.59,0.06,0.84,1,0,1
4,4,30,4,81,69.7,216,0.2,0.47,9.3,0,1,1
7,6,45,-2,16,41.1,39,0.61,0.47,12.86,0,0,1
7,5,43,12,17,26.8,70,0.85,0.51,6.23,1,0,0
4,3,15,10,63,43.7,94,0.32,0.39,6.28,1,0,1
5,5,26,9,72,67.8,98,0.72,0.79,0.12,1,1,1
7,6,8,3,59,49.8,170,0.18,0.17,2.24,0,0,1
5,5,42,0,47,7.8,213,1.19,0.43,5.15,0,1,1
3,2,5,12,85,48.1,278,1.74,0.19,9.62,1,0,1
3,1,1,6,78,29.8,279,0.54,0.47,4.42,1,0,1
4,4,5,8,11,21.9,278,0.36,0.19,5.29,1,1,1
6,6,16,5,51,38.0,189,0.21,0.7,17.23,0,1,1
7,4,34,-1,30,71.6,69,1.23,0.93,7.0,0,0,1
7,4,23,5,58,76.6,87,0.25,0.44,3.92,0,0,1
7,7,42,6,89,46.7,92,1.63,0.09,12.31,0,1,1
4,2,30,9,71,46.3,119,0.49,0.1,15.62,1,0,1
5,2,4,17,34,54.9,173,1.63,0.4,15.59,1,0,1
5,5,1,13,12,15.7,85,0.33,0.62,11.37,1,0,0
3,1,41,1,58,75.5,83,1.2,0.58,12.26,0,0,1
4,4,26,17,37,55.8,164,1.59,0.44,13.47,1,1,1
4,1,36,18,41,18.0,71,0.53,0.66,1.49,1,0,0
4,4,13,-2,82,75.4,88,0.16,0.2,10.11,0,1,1
3,1,18,1,18,74.8,144,1.74,0.78,2.81,0,0,1
4,2,41,0,55,72.9,36,0.21,0.73,12.76,0,0,1
6,3,35,3,81,24.3,186,0.23,0.38,17.24,0,0,1
3,1,9,-1,75,62.8,61,0.14,0.07,9.62,0,0,1
4,4,43,17,44,40.8,200,1.18,0.34,6.24,1,1,1
3,0,17,16,46,50.3,61,1.53,0.26,10.38,1,0,1
5,2,9,14,20,10.7,194,1.64,0.83,8.99,1,0,1
3,3,16,17,31,66.1,308,0.13,0.3,17.48,1,1,1
5,4,5,16,30,49.8,265,0.78,0.45,9.15,1,0,1
4,2,44,18,84,14.6,266,0.79,0.33,0.88,1,0,1
7,5,30,11,56,12.8,211,0.35,0.11,7.58,1,0,1
6,3,31,14,53,59.2,176,1.11,0.54,17.15,1,0,1
5,3,45,14,55,5.2,162,0.83,0.63,2.08,1,0,0
4,1,17,5,31,66.4,247,0.84,0.52,7.93,0,0,1
4,4,4,9,80,25.9,297,1.62,0.15,16.69,1,0,1
4,1,13,-1,25,36.3,148,0.74,0.58,7.26,0,0,1
5,5,1,-1,45,37.7,294,1.51,0.08,11.23,0,0,1
4,1,36,4,61,24.4,303,1.72,0.84,0.31,0,0,1
3,3,24,6,38,33.0,53,0.22,0.09,1.3,0,1,1
3,1,24,-1,40,51.1,172,0.26,0.5,0.96,0,0,1
7,4,40,15,60,60.8,300,1.49,0.74,17.72,1,0,1
4,2,9,18,63,48.3,128,0.4,0.05,2.61,1,0,1
7,7,6,15,20,43.0,153,0.34,0.68,0.71,1,1,1
7,4,45,7,90,5.5,310,1.62,0.34,0.34,0,0,1
7,6,10,18,22,8.9,161,0.81,0.32,16.29,1,0,0
5,4,6,9,86,50.7,209,0.93,0.04,4.46,1,0,1
6,5,10,16,17,9.0,52,1.5,0.83,6.44,1,0,1
3,0,2,6,80,72.2,92,1.13,0.87,1.0,1,0,1
7,5,20,16,35,53.1,182,0.29,0.76,12.64,1,0,1
3,3,3,10,41,43.7,153,0.89,0.58,4.48,1,0,1
5,2,1,-1,86,39.4,303,1.33,0.32,0.41,1,0,1
6,3,23,18,25,13.0,68,0.73,0.65,6.15,1,0,0
7,6,45,9,30,68.3,269,0.78,0.05,3.63,1,0,1
7,6,43,7,71,15.0,250,1.22,0.36,13.54,0,0,1
6,3,10,9,42,30.6,124,0.89,0.73,1.55,1,0,1
5,4,8,12,76,63.6,268,1.37,0.74,11.44,1,0,1
6,4,0,16,80,62.9,45,0.74,0.45,6.25,1,0,1
6,4,6,14,34,28.3,139,1.09,0.32,15.64,1,0,1
4,1,1,2,60,9.1,187,0.4,0.44,5.66,1,0,1
5,2,31,3,61,27.7,25,1.26,0.3,14.42,0,0,1
3,3,33,12,12,47.6,271,0.94,0.32,17.97,1,1,1
3,0,24,-1,43,70.3,275,1.72,0.57,12.09,0,0,1
3,1,9,18,82,21.8,39,1.59,0.26,13.63,1,0,1
4,4,36,15,28,58.3,123,0.92,0.13,6.63,1,1,1
4,3,0,0,87,17.3,60,0.66,0.41,15.24,1,0,0
6,5,29,6,16,13.1,190,1.48,0.5,2.53,0,0,1
4,1,4,17,18,55.1,105,0.24,0.33,9.39,1,0,1
5,2,34,13,8,42.8,104,0.14,0.39,14.43,1,0,1
6,6,41,16,78,59.0,43,1.46,0.31,0.54,1,1,1
3,0,18,0,23,23.4,318,1.5,0.8,0.99,0,0,1
3,2,4,17,39,5.3,281,0.98,0.81,0.31,1,0,1
3,2,16,4,27,16.7,320,0.71,0.78,2.84,0,0,1
6,3,31,5,74,5.9,138,1.25,0.79,8.57,0,0,1
5,4,23,9,15,39.7,22,0.47,0.73,12.18,1,0,1
6,6,29,8,47,43.9,91,0.64,0.41,1.37,1,1,1
7,4,32,10,57,41.0,165,0.46,0.52,2.35,1,0,1
5,3,8,14,83,61.0,57,1.7,0.68,12.23,1,0,1
4,4,41,-2,67,36.3,120,0.65,0.57,12.76,0,1,1
6,5,42,1,86,10.4,307,0.64,0.49,7.45,0,0,1
6,6,42,10,18,66.9,259,0.23,0.32,15.31,1,1,1
3,3,44,0,42,72.7,256,0.57,0.87,2.93,0,1,1
3,3,33,5,71,17.8,126,0.95,0.85,4.82,0,1,0
3,2,18,18,87,68.6,144,0.67,0.91,7.17,1,0,1
4,2,22,9,63,38.2,182,1.63,0.45,2.62,1,0,1
7,4,11,-2,13,44.3,211,0.82,0.18,5.63,0,0,1
6,4,37,4,50,28.5,218,1.13,0.93,7.76,0,0,1
3,2,14,18,90,10.4,310,1.7,0.35,14.42,1,0,1
4,3,10,0,89,58.4,271,0.33,0.15,16.9,0,0,1
5,3,16,14,69,62.1,238,0.56,0.33,6.5,1,0,1
7,5,6,1,12,64.9,221,0.71,0.26,15.51,1,0,1
3,2,29,14,51,56.0,47,1.28,0.23,16.46,1,0,1
3,3,43,4,74,13.3,69,0.69,0.24,17.9,0,1,0
5,5,9,17,75,11.9,310,1.25,0.36,17.16,1,1,1
4,4,27,17,47,36.3,25,0.97,0.7,0.28,1,1,1
3,1,45,5,40,6.4,53,0.61,0.86,7.07,0,0,0
3,0,35,5,57,73.5,210,0.32,0.09,12.84,0,0,1
3,0,15,15,81,65.5,220,0.6,0.26,12.18,1,0,1
3,0,17,18,72,74.7,147,1.74,0.86,15.14,1,0,1
