Designator,Part,Manufacturer,MPN,Qty,UnitPrice,TotalPrice,Notes
U1,ESP32-WROOM-32E,Espressif,ESP32-WROOM-32E,1,3.20,3.20,WiFi+BLE MCU
U2,SX1262 LoRa Module,Waveshare,RFM95W-SX1262,1,8.50,8.50,868MHz LoRa
U3,Sensirion SCD41 CO2 Sensor,Sensirion,SCD41,1,40.00,40.00,NDIR CO2
U4,MQ-4 Methane Sensor,Futlec,MQ-4,1,5.00,5.00,CH4 sensor
U5,HX711 24-bit ADC,Avia,HX711,1,1.50,1.50,Load cell ADC
U6,TP4056 Li-Ion Charger,Nanjing,TP4056,1,0.50,0.50,Battery charger
U7,DW01A Battery Protection,Fortune,DW01A,1,0.20,0.20,Battery protection
U8,FS8205A Dual MOSFET,Fortune,FS8205A,1,0.50,0.50,Battery protection
U9,AP2112 LDO 3.3V,Diodes,AP2112K-3.3,1,0.30,0.30,3.3V regulator
D1,WS2812B RGB LED,Worldsemi,WS2812B,1,0.30,0.30,Status LED
M1,MG90S Metal Gear Servo,TowerPro,MG90S,1,4.00,4.00,Vent actuator
LC1,5kg Load Cell,Generic,LCS-5KG,1,5.00,5.00,Weight measurement
S1,DS18B20 Waterproof Temp,Maxim,DS18B20,3,2.50,7.50,3 depth probes
S2,Capiv-1.2 Capacitive Moisture,Capacitive,CAP-12,3,2.00,6.00,3 depth sensors
J1,USB-C Receptacle,Amphenol,12401548E4,1,0.50,0.50,Programming
BT1,18650 Battery Holder,Keeppower,18650-1S,1,0.70,0.70,Battery holder
BT2,18650 3000mAh,LG,INR18650MH1,1,4.00,4.00,Li-ion cell
PV1,5V 2W Solar Panel,Generic,SP-2W-5V,1,3.50,3.50,Solar panel
ANT1,868MHz PCB Antenna,Generic,ANT-868,1,1.00,1.00,LoRa antenna
PCB1,Custom PCB,JLCPCB,PCB-BIN,1,3.00,3.00,2-layer PCB
ENC1,IP65 3D Printed Enclosure,Generic,ENC-BIN,1,3.00,3.00,Waterproof
MISC,Passives + Headers + Cables,Various,,1,3.00,3.00,Cables/connectors
,,Total,,,99.20,Bin Node total
