Component,Part,Qty,UnitPrice,Total,Supplier,PartNumber
SoC,ESP32-C6-MINI-1,1,3.80,3.80,Mouser,ESP32-C6-MINI-1
IMU,ICM-42688-P,1,3.50,3.50,DigiKey,ICM-42688-P
Ambient Light,APDS9301,1,1.80,1.80,DigiKey,APDS9301
LED Driver,PT4115,1,0.90,0.90,LCSC,PT4115
Front LED,Luxeon LZ4-00R208 1000lm,1,5.50,5.50,DigiKey,LZ4-00R208
Rear LEDs,WS2812B,8,0.40,3.20,LCSC,WS2812B
Charger IC,TP4056,1,0.40,0.40,LCSC,TP4056
Battery,18650 Li-ion 2600mAh,1,4.50,4.50,BatterySpace,ICR18650-2600
USB-C Connector,USB-C 16-pin,1,0.80,0.80,LCSC,TYPE-C-31-M-12
Status LED,WS2812B,1,0.40,0.40,LCSC,WS2812B
Optics,Asymmetric lens for StVZO,1,2.00,2.00,Custom,StVZO-Lens
PCB,4-layer FR4 60x40mm,1,4.00,4.00,JLCPCB,4-layer
Front Enclosure,IP67 aluminum housing,1,5.00,5.00,Custom,Light-Front
Rear Enclosure,Silicone-encased strip,1,2.20,2.20,Custom,Light-Rear
Total,,,,34.50,,
