DriveSync Dash Hub BOM
#,Part,Qty,Unit Price,Extended,Source
1,ESP32-S3-WROOM-1-N8R8,1,4.20,4.20,Mouser
2,OV5640 camera module (auto-focus),1,8.50,8.50,AliExpress
3,940nm IR LED array (5-LED),1,3.20,3.20,DigiKey
4,LSM6DSO 6-axis IMU,1,3.10,3.10,Mouser
5,MAX98357A I2S amp + speaker,1,4.50,4.50,Adafruit
6,ERM haptic motor + driver,1,2.80,2.80,DigiKey
7,MP2322 buck (5V→3.3V/2A),1,2.10,2.10,Mouser
8,USB-C connector (16-pin SMT),1,0.80,0.80,Mouser
9,12V→5V buck (cigarette lighter),1,3.50,3.50,DigiKey
10,WS2812B LED,3,0.45,1.35,Mouser
11,PCB (4-layer 70×50mm),1,6.00,6.00,JLCPCB
12,Enclosure (3D printed + suction mount),1,4.00,4.00,DIY
13,Passive components (R C L),45,0.08,3.60,Various
14,18650 Li-ion 3200 mAh (UPS),1,3.50,3.50,Battery Mart
15,MCP73831 Li-ion charger,1,1.20,1.20,Mouser
16,FFC cable (camera to board),1,1.50,1.50,AliExpress
Total,,,52.55,
