Component,Part,Qty,UnitPrice,TotalPrice,Supplier,Notes
ESP32-S3-WROOM-1-N16R8,Espressif,1,5.40,5.40,Mouser,16MB flash 8MB PSRAM
SX1262IMLTRT,Semtech,1,6.20,6.20,Mouser,868MHz LoRa radio
868MHz SMA Antenna,Wurth 730010010,1,2.80,2.80,Mouser,Whip antenna
BME280,Bosch,1,3.50,3.50,DigiKey,Temp/humidity/pressure I2C
DS3231SN,Maxim,1,4.20,4.20,DigiKey,RTC battery-backed ±2ppm
CR1220 Battery Holder,Keystone 3001,1,0.50,0.50,DigiKey,RTC backup battery
CR1220 Battery,Energizer,1,0.80,0.80,DigiKey,RTC backup
TPS25940,TI,1,1.80,1.80,Mouser,eFuse overcurrent protection
AMS1117-3.3,AMS,1,0.30,0.30,DigiKey,3.3V LDO
UC8151D,Ulich,1,4.50,4.50,Mouser,E-ink controller
2.9" E-ink Panel,Pervasive Displays,1,8.50,8.50,Mouser,296×128 monochrome
WS2812B 8x8 Matrix,Worldsemi,1,5.20,5.20,Mouser,RGB LED matrix
SRD-05VDC-SL-C,Songle,1,1.20,1.20,DigiKey,Bed-shaker relay 5V
CMT-8543S-SMT,CUI,1,1.10,1.10,DigiKey,Buzzer
SK6812 RGB LED,Worldsemi,3,0.40,1.20,Mouser,Status LEDs
microSD Socket,Amphenol 10103189,1,1.10,1.10,DigiKey,microSD card slot
USB-C Connector,Amphenol 12401548E4,1,1.50,1.50,DigiKey,USB-C 5V power
PCB,4-layer FR4,1,3.50,3.50,JLCPCB,Custom PCB
Enclosure,3D-printed PETG,1,2.00,2.00,Shapeways,Custom enclosure
Misc passives,Resistors/caps,1,2.00,2.00,DigiKey,0402/0603 SMT
Headers and connectors,Misc,1,1.00,1.00,DigiKey,PCB headers
,,,Total:,62.30,,
