Component,Part,Qty,Unit_USD,Total_USD,Notes
MCU,ESP32-S3-WROOM-1-N8R2,1,3.80,3.80,8 MB flash 2 MB PSRAM
Sub-GHz Radio,SX1262,1,7.20,7.20,868 MHz +22 dBm TDMA mesh node
Sub-GHz Antenna,PCB trace 868 MHz,1,0.00,0.00,Internal
LED Strip Driver,WS2812B strips 60LED,4,4.00,16.00,Addressable LED strips green path red zone
Level Shifter,SN74AHCT125N,1,0.80,0.80,3.3V to 5V for WS2812B data
Audio Amp,MAX98357A,1,2.50,2.50,I2S Class-D amplifier
Speaker,4 ohm 3W full-range,1,3.00,3.00,Voice escape guidance
Flash Memory,W25Q128 16MB SPI,1,2.50,2.50,Voice guidance clips 8 languages x 12 messages
Door Relays,Relay module 5V,4,1.50,6.00,Door strike release front back garage bedroom
USB-C Connector,Amphenol 12401598E4#2A,1,1.50,1.50,Power + programming
eFuse,TPS25940,1,1.80,1.80,Overcurrent protection
3.3V Regulator,AP2112K-3.3,1,0.50,0.50,LDO
LiFePO4 Battery,3.2V 5000 mAh,1,8.00,8.00,LiFePO4 fire-safe chemistry 48+ hours
LiFePO4 Charger,TP5000,1,1.50,1.50,LiFePO4 charge controller
LED,SK6812 RGB,1,0.30,0.30,Status indicator
PCB,4-layer FR4 80x50mm,1,3.50,3.50,Hallway mount
Passives,Resistors/Caps/Misc,1,2.50,2.50,Decoupling pull-ups etc
Enclosure,3D-printed ASA,1,1.50,1.50,Hallway mount IP54
Total,,,,58.70,
