Component,Part,Qty,Unit_USD,Total_USD,Notes
SoC,ESP32-S3-WROOM-1-N16R8,1,5.50,5.50,16 MB flash 8 MB PSRAM dual-core 240 MHz
Sub-GHz Radio,SX1262,1,7.20,7.20,868 MHz +22 dBm LoRa TDMA mesh coordinator
Sub-GHz Antenna,SMA paddle 868 MHz,1,2.50,2.50,External antenna
Cellular Module,SIM7000A,1,18.00,18.00,4G LTE Cat-M1 embedded SIM 911 dispatch
Cellular Antenna,SMA paddle 4G LTE,1,2.50,2.50,External antenna
Temp/Humidity/Pressure,BME280,1,2.80,2.80,Ambient monitoring fire risk context
RTC,DS3231SN,1,4.50,4.50,Battery-backed ±2 ppm event timestamping
microSD Socket,Amphenol 101-00660-73,1,1.20,1.20,Local event log 2-year capacity
USB-C Connector,Amphenol 12401598E4#2A,1,1.50,1.50,Power + programming
Battery Charger,MCP73871,1,2.20,2.20,USB-C + LiPo management
eFuse,TPS25940,1,1.80,1.80,Overcurrent protection
3.3V Regulator,AP2112K-3.3,1,0.50,0.50,LDO
LiPo Battery,3.7V 2000 mAh,1,5.00,5.00,Backup operation 18 hours
Buzzer,CMT-8540S-SMT 105 dB,1,2.20,2.20,Primary alarm buzzer
Strobe LED,White 530nm 5000mcd,1,1.50,1.50,Visual alarm hearing-impaired
LEDs,SK6812 RGB,3,0.30,0.90,Status indicators mesh wifi cloud
PCB,4-layer FR4 70x50mm,1,4.00,4.00,Custom hub PCB
Passives,Resistors/Caps/Misc,1,3.50,3.50,Decoupling pull-ups etc
Enclosure,3D-printed PETG,1,2.50,2.50,Wall-mounted enclosure
PCB Antenna,2.4 GHz PCB trace,1,0.00,0.00,Wi-Fi internal antenna
Total,,,,84.20,
