Component,Part,Qty,Unit_USD,Total_USD,Notes
MCU,STM32G431CBU6,1,3.50,3.50,Cortex-M4F 170 MHz 128 KB flash 32 KB RAM
Sub-GHz Radio,SX1262,1,7.20,7.20,868 MHz +22 dBm TDMA mesh node
Sub-GHz Antenna,PCB trace 868 MHz,1,0.00,0.00,Internal
CT Clamp L1,SCT-013-100,1,3.50,3.50,100A non-invasive current transformer
CT Clamp L2,SCT-013-100,1,3.50,3.50,100A non-invasive current transformer
Voltage Sensor,AC voltage divider,1,1.00,1.00,Mains voltage measurement
Thermal Sensor,Bus bar DS18B20,4,1.20,4.80,DS18B20 1-Wire ±0.5°C bus bar neutral breakers
Shunt Trip Relay,Relay + shunt-trip breaker,1,5.00,5.00,Triggers shunt-trip breaker
LED,SK6812 RGB,1,0.30,0.30,Status normal arc tripped
AC-DC Converter,5V isolated AC-DC,1,3.00,3.00,Panel power to 5V
3.3V Regulator,AP2112K-3.3,1,0.50,0.50,LDO
LiPo Battery,3.7V 500 mAh,1,2.00,2.00,Backup for brief power blips
PCB,4-layer FR4 50x40mm,1,3.00,3.00,Panel-mounted inside breaker enclosure
Passives,Resistors/Caps/Misc,1,2.50,2.50,Decoupling pull-ups burden resistors
Enclosure,3D-printed ABS UL94-V0,1,1.50,1.50,Flame-retardant panel mount
Total,,,,46.30,
