Component,Part,Qty,Unit_USD,Total_USD,Notes
MCU,ESP32-S3-WROOM-1-N8R2,1,3.80,3.80,8 MB flash 2 MB PSRAM
Sub-GHz Radio,SX1262,1,7.20,7.20,868 MHz +22 dBm TDMA mesh node
Sub-GHz Antenna,PCB trace 868 MHz,1,0.00,0.00,Internal PCB antenna
Smoke Sensor,PMSA003-I,1,8.50,8.50,Plantower photoelectric PM2.5/PM10 I²C
CO Sensor,ZE07-CO,1,12.00,12.00,Winsen electrochemical CO 0-500 ppm UART
Temperature,DS18B20,1,1.20,1.20,±0.5°C 1-Wire rate-of-rise detection
Thermal Array,MLX90640,1,14.50,14.50,32x24 IR thermal 0-300°C I²C 16 Hz
PIR Sensor,AM612,1,1.80,1.80,Occupancy detection
Buzzer,CMT-8540S-SMT 85 dB,1,1.20,1.20,Local alarm
Strobe LED,White 5000mcd,1,0.80,0.80,Visual alarm
LED,SK6812 RGB,1,0.30,0.30,Status indicator
USB-C Connector,Amphenol 12401598E4#2A,1,1.50,1.50,Power + programming
Battery Charger,MCP73871,1,2.20,2.20,USB-C + LiPo management
eFuse,TPS25940,1,1.80,1.80,Overcurrent protection
3.3V Regulator,AP2112K-3.3,1,0.50,0.50,LDO
LiPo Battery,3.7V 1000 mAh,1,3.00,3.00,Backup 14 hours during power outage
PCB,4-layer FR4 80x80mm,1,3.00,3.00,Ceiling-mounted round PCB
Passives,Resistors/Caps/Misc,1,2.50,2.50,Decoupling pull-ups etc
Enclosure,3D-printed ASA 80mm,1,1.50,1.50,Ceiling mount IP54 vents for smoke
Total,,,,52.80,
