Component,Part,Qty,Unit_USD,Total_USD,Notes
MCU,ESP32-S3-WROOM-1-N8R2,1,3.80,3.80,8 MB flash 2 MB PSRAM
Sub-GHz Radio,SX1262,1,7.20,7.20,868 MHz +22 dBm TDMA mesh node
Sub-GHz Antenna,PCB trace 868 MHz,1,0.00,0.00,Internal
Thermal Array,MLX90640,1,14.50,14.50,32x24 IR thermal under-hood stovetop monitoring
Knob Encoder,AS5600,4,2.20,8.80,Magnetic encoder per burner knob I²C
I²C Mux,TCA9548A,1,1.50,1.50,8-channel I²C mux for 4 AS5600 sensors
Gas Valve,Motorized ball valve 1/2 NPT,1,12.00,12.00,12V latching fails-closed spring return
Valve Driver,L298N H-bridge,1,2.50,2.50,Drives motorized ball valve bidirectional
Reed Switch,Reed switch,1,0.50,0.50,Valve closed position feedback
Buzzer,CMT-8543S-SMT 85 dB,1,1.20,1.20,Local alarm
LED,SK6812 RGB,1,0.30,0.30,Status valve open/closed alert
USB-C Connector,Amphenol 12401598E4#2A,1,1.50,1.50,Power + programming
Battery Charger,MCP73871,1,2.20,2.20,USB-C + LiPo management
eFuse,TPS25940,1,1.80,1.80,Overcurrent protection
3.3V Regulator,AP2112K-3.3,1,0.50,0.50,LDO
12V Regulator,MT3608,1,1.20,1.20,Boost converter for valve 12V
LiPo Battery,3.7V 1200 mAh,1,3.50,3.50,Backup 10 hours gas flows during outage
PCB,4-layer FR4 60x40mm,1,3.00,3.00,Under-hood mount
Passives,Resistors/Caps/Misc,1,2.50,2.50,Decoupling pull-ups etc
Enclosure,3D-printed ASA heat-resistant,1,1.50,1.50,Under-hood IP54 85°C rated
Total,,,,68.50,
