# GlucoSync Meal Scanner — BOM
# Total estimated cost: ~$43.60

Part,Qty,Unit Price,Extended,Manufacturer,MPN,Source,Notes
ESP32-S3-WROOM-1-N8R2,1,4.50,4.50,Espressif,ESP32-S3-WROOM-1-N8R2,Mouser,8MB flash 2MB PSRAM
OV5640 Camera Module Auto-Focus,1,8.50,8.50,Omnivision,OV5640-AliExpress,AliExpress,DVP 8-bit parallel
White LED High CRI 5mm,1,0.50,0.50,LumiLEDs,LW-5DP,DigiKey,Broadband illumination
470nm Blue LED 5mm 150mcd,1,1.20,1.20,Epson,EL-470,DigiKey,Protein/fat differentiation
660nm Red LED 5mm 200mcd,1,1.10,1.10,Epistar,ER-660,DigiKey,Starch reflectance
850nm NIR LED 5mm 100mW,1,1.30,1.30,Vishay,VSMY-850,DigiKey,Moisture content
940nm IR LED 5mm 80mW,1,0.90,0.90,Vishay,VSMY-940,DigiKey,Internal structure
AO3400 N-MOSFET,5,0.15,0.75,AOS,AO3400,Mouser,LED driver MOSFETs
BME280 Temp/Humidity Sensor,1,2.50,2.50,Bosch,BME280,Adafruit,#2652,Ambient correction
500mAh LiPo Battery,1,3.50,3.50,various,N/A,Battery Mart,Rechargeable
MCP73831 LiPo Charger,1,1.20,1.20,Microchip,MCP73831T,Mouser,SOT-23-5
USB-C 16-pin Connector,1,0.80,0.80,Amphenol,USB-C-16,Mouser,Charging
Tactile Button (Scan),1,0.20,0.20,E-Switch,TL3305,DigiKey,Scan trigger
WS2812B LED (Status),1,0.45,0.45,Worldsemi,WS2812B,Mouser,Status indicator
PCB 4-layer 60x40mm,1,5.00,5.00,JLCPCB,N/A,JLCPCB,4-layer ENIG
Enclosure 3D Printed Handheld,1,4.00,4.00,DIY,N/A,DIY,PLA wand
Optical Diffuser Window,1,2.00,2.00,DIY,N/A,DIY,Optical-grade acrylic
Passive R/C/L,40,0.08,3.20,Various,N/A,Various,Resistors caps inductors
FFC Cable 24-pin (camera),1,1.50,1.50,Various,N/A,AliExpress,Camera to board
