Item,Component,Part Number,Quantity,Unit_Cost_USD,Total_Cost_USD,Supplier,Notes
1,MCU,ESP32-S3-WROOM-1,1,3.50,3.50,DigiKey,Dual-core image processing
2,Sub-GHz Radio,CC1101,1,2.10,2.10,Mouser,868 MHz mesh radio
3,Camera,OV5640,1,3.20,3.20,DigiKey,5MP camera module
4,Camera Lens,3.6mm M12 lens,1,1.50,1.50,DigiKey,Wide-angle for bee tunnel
5,IR LED,SFH 4050,4,0.30,1.20,DigiKey,850nm IR illumination
6,IR LED Driver,BC847,1,0.10,0.10,DigiKey,NPN transistor driver
7,MEMS Microphone,ICS-43434,1,2.50,2.50,DigiKey,Entrance acoustic monitoring
8,Temp/Humidity Sensor,SHT40-AD1B-R3,1,2.50,2.50,DigiKey,External weather at entrance
9,Voltage Regulator,TLV1117LV33,1,0.50,0.50,DigiKey,3.3V regulator
10,Solar Charge Controller,TP4056,1,0.50,0.50,DigiKey,Li-Ion charging
11,Battery,18650 Li-Ion 2600mAh,1,4.00,4.00,Amazon,Power storage
12,Battery Holder,18650 single holder,1,0.40,0.40,DigiKey,Battery holder
13,Solar Panel,2W 5V panel,1,3.00,3.00,eBay,Mini solar panel
14,Antenna,868MHz whip,1,1.80,1.80,DigiKey,External antenna
15,SD Card Slot,MicroSD slot,1,0.30,0.30,DigiKey,Local image storage
16,SD Card,16GB MicroSD,1,2.00,2.00,Amazon,Image buffer
17,PCB,4-layer FR4 60×40mm,1,3.00,3.00,JLCPCB,Custom board
18,Enclosure,IP65 camera housing,1,5.00,5.00,eBay,Weatherproof camera case
19,Bee Tunnel,3D printed PETG tunnel,1,2.00,2.00,DIY,Custom bee counter channel
20,Total,,,,,39.40,
