JointSync Joint Scanner BOM
#,Part,Qty,Unit Price,Extended,Source
1,ESP32-S3-WROOM-1-N8R8,1,4.20,4.20,Mouser
2,MLX90640 IR thermal array (32×24),1,35.00,35.00,Mouser
3,OV5640 camera module (5 MP DVP),1,8.50,8.50,Mouser
4,AL8805 LED driver,3,1.20,3.60,Mouser
5,White LED (high-CRI 0805),2,0.60,1.20,Mouser
6,UV LED 365nm (0805),2,1.80,3.60,Mouser
7,NIR LED 850nm (0805),2,0.90,1.80,Mouser
8,MCP73831 charger,1,1.20,1.20,Mouser
9,LiPo battery 1200 mAh (3.7V),1,4.50,4.50,Battery Mart
10,PCB (6-layer 60×40mm),1,6.00,6.00,JLCPCB
11,USB-C connector,1,0.80,0.80,Mouser
12,WS2812B LED (status),1,0.45,0.45,Mouser
13,Enclosure (3D printed),1,3.00,3.00,DIY
14,Passive components,30,0.08,2.50,Various
Total,,,76.25,
