Ref,Designator,Qty,Value,Footprint,Manufacturer,MPN,UnitPrice,ExtendedPrice,Notes
1,U1,1,nRF52840 QFAA,QFN-73,Nordic,nRF52840-QFAA,7.20,7.20,MCU BLE+Ant
2,U2,1,SX1262IMLTRT,RF_Module,Semtech,SX1262IMLTRT,6.50,6.50,Sub-GHz radio
3,U3,1,FDC2214Q1,TSSOP-16,TI,FDC2214Q1,4.80,4.80,Capacitive moisture
4,U4,1,DS18B20U+,SOIC-8,Maxim,DS18B20U+,2.50,2.50,Soil temp 1-Wire
5,U5,1,VEML7700,LED-6,Vishay,VEML7700,2.20,2.20,Ambient light
6,U6,1,LMP7721,SOIC-8,TI,LMP7721MA,3.50,3.50,pH amplifier
7,U7,1,MCP73871,QFN-20,Microchip,MCP73871,2.80,2.80,Solar charge controller
8,ADC1,1,ADC124S101,TSSOP-14,TI,ADC124S101CIMT,1.20,1.20,12-bit ADC for ISE
9,BAT1,1,LiFePO4 3.2V 1500mAh,Cylindrical,Various,LiFePO4-1500,3.50,3.50,Battery
10,SOL1,1,5W 6V solar panel,Custom,Various,SOL-5W-6V,3.00,3.00,Solar panel
11,ANT1,1,868MHz PCB antenna,PCB,Various,ANT-868-PCB,0.80,0.80,PCB trace antenna
12,SW1,1,Tactile switch,SMD,Various,TACT-SMD,0.20,0.20,Reset/boot
13,J1,1,pH BNC connector,SMD,Various,BNC-SMD,1.50,1.50,pH probe connector
14,J2,1,ISE probe connector,SMD,Custom,ISE-CONN,2.00,2.00,NPK probes
15,LED1,1,Green LED,0603,Various,LED-GRN-0603,0.10,0.10,Status
16,Q1,1,AO3400A,SOT-23,Alpha,AO3400A,0.15,0.15,ISE power MOSFET
17,Q2,1,SI2301,SOT-23,Vishay,SI2301,0.20,0.20,VDDH high-side switch
18,C1-C6,6,0.1µF,0603,Various,0.1uF-0603,0.05,0.30,Decoupling
19,C7,1,10µF,0805,Various,10uF-0805,0.20,0.20,Bulk cap
20,R1-R5,5,10kΩ,0603,Various,10k-0603,0.03,0.15,Pullups/dividers
21,R6,1,4.7kΩ,0603,Various,4.7k-0603,0.03,0.03,1-Wire pullup
22,PCB,1,4-layer PCB,Custom,Various,PCB-Soil,7.00,7.00,80×250mm probe
23,ENCL,1,IP67 stake,Custom,Various,ENCL-Soil,3.50,3.50,Stake enclosure
24,SWD,1,TC2030 tag,PCB,Various,TC2030,0.30,0.30,Programming header
Total,,,,,,,38.13,38.13
