Component,Part,Qty,UnitPrice,TotalPrice,Notes
SoC,nRF52840 QFAA,1,5.20,5.20,ARM Cortex-M4F 64MHz BLE 5.0
BCG Sensor,PVDF piezo strip 80cm,1,8.00,8.00,Ballistocardiography heart/breath/sleep from under mattress
Sweat Sensor,TI FDC2214,1,4.50,4.50,28-bit capacitance-to-digital mattress moisture
Mattress Temp,TI TMP117,1,2.80,2.80,±0.1°C mattress surface temperature
Signal Conditioning,LM358 dual op-amp,1,0.40,0.40,Piezo signal amplification/buffering
ADC,Internal nRF52840 12-bit,0,0.00,0.00,Uses nRF52840 internal ADC for piezo
Battery,CR2032 220mAh,1,0.50,0.50,180-day life ultra-low-power
Battery Holder,Keystone 3001,1,0.30,0.30,CR2032 SMD holder
LED,Single SMD 0603,1,0.10,0.10,Status blink
PCB,4-layer FR4 flexible 80x30cm,1,3.00,3.00,Long strip PCB for under-mattress placement
Antenna,PCB trace 2.4GHz,1,0.30,0.30,BLE 5.0 coded PHY antenna
Capacitors/Resistors,Various SMD,1,1.50,1.50,Passive components
Enclosure,Flexible PVC mat,1,2.00,2.00,80x30cm waterproof mat under mattress
Total,,,,28.90,
