Item,Reference,Manufacturer Part,Description,Qty,Est Unit USD
1,U1,Raspberry Pi CM4004032,Compute Module 4 4GB 32GB,1,95.00
2,U2,RP2040,Raspberry Pi supervisory MCU,1,1.20
3,U3,SX1262IMLTRT,Sub-GHz radio,1,4.90
4,U4,DW3110,Qorvo UWB transceiver,1,8.80
5,U5,MP1584EN,5V buck regulator,1,0.80
6,U6,TPS62172,3.3V buck regulator,1,1.40
7,U7,DS3231SN,RTC,1,1.90
8,U8,INA219AIDCNR,Current monitor,1,1.10
9,DISP1,Waveshare 5in DSI,Touchscreen display,1,58.00
10,BAT1-2,Protected 18650,Backup cells,2,12.00
11,CONN,Assorted,Terminal blocks/connectors,1,18.00
12,PCB,Custom,4-layer PCB,1,15.00
