Qty,Part,Description,Unit Cost,Total Cost
1,ESP32-S3-WROOM-1-N8R2,8MB flash 2MB PSRAM SoC,5.50,5.50
1,SX1262IMLTRT,868 MHz LoRa transceiver,5.80,5.80
4,ICS-43434,I2S MEMS microphone 26dB SNR,2.40,9.60
1,SHT40,Temp/humidity sensor ±0.2°C,1.50,1.50
1,MCP73871,Solar/USB LiPo battery charger,1.80,1.80
1,AMS1117-3.3,3.3V LDO regulator,0.30,0.30
1,SK6812 RGB LED,Status indicator,0.60,0.60
1,LiPo 3.7V 1200mAh,Rechargeable battery,4.00,4.00
1,3W 5V solar panel (optional),Indoor light harvesting,4.50,4.50
1,MOSFET gate driver,Mic array power gate,0.50,0.50
1,PCB 4-layer 40x40mm,Custom acoustic sentinel PCB,4.50,4.50
1,Acoustically transparent enclosure,3D-printed ASA wall mount,3.50,3.50
1,Passives+connectors,Resistors caps misc,1.90,1.90
,,Subtotal,,$44.00
