Qty,Part,Description,Unit Cost,Total Cost
1,ESP32-S3-WROOM-1-N8R2,8MB flash 2MB PSRAM SoC,5.50,5.50
1,SX1262IMLTRT,868 MHz LoRa transceiver,5.80,5.80
1,BME280,Temp/humidity/pressure sensor,2.80,2.80
1,OV2640,2MP camera module,4.50,4.50
1,TCRT5000,IR reflective optical sensor,1.20,1.20
1,MQ-4,Propane/methane gas leak sensor,3.20,3.20
1,DRV8833,Motor driver (fan),1.80,1.80
1,PTC thermistor 12V 5W,37°C heat element (body temp mimic),1.50,1.50
1,12V DC axial fan 80mm,Suction fan for mosquito trap,4.50,4.50
1,Propane catalytic converter,CO2 generator from propane,9.00,9.00
1,1-octen-3-ol cartridge,Mosquito attractant (30-day),2.00,2.00
1,1 lb propane tank,Disposable propane cylinder,5.00,5.00
1,Tipping bucket rain gauge 0.2mm,Breeding site prediction,5.50,5.50
1,MCP73871,Solar LiFePO4 charger,1.80,1.80
1,LiFePO4 3.2V 5000mAh,Extended autonomy battery,8.00,8.00
1,10W 6V solar panel,Weatherproof outdoor panel,6.50,6.50
1,12V boost converter,Fan + heater power,1.50,1.50
1,AMS1117-3.3,3.3V LDO regulator,0.30,0.30
1,PCB 4-layer 80x80mm,Custom CO2 trap PCB,6.50,6.50
1,IP65 NEMA 4X enclosure,Post-mounted weatherproof,7.50,7.50
1,Catch bag (fine mesh),Removable mosquito collection bag,2.50,2.50
1,868MHz whip SMA,Sub-GHz antenna,3.50,3.50
1,Passives+connectors,Resistors caps relays misc,5.80,5.80
,,Subtotal,,$96.20
