Component,Part,Qty,Unit Price,Total,Notes
MCU,ESP32-C3,1,2.50,2.50,RISC-V single-core low-power
Sub-GHz Radio,SX1262 module,1,8.50,8.50,868 MHz mesh
Ultrasonic Transducer,40kHz piezo transducer,2,1.00,2.00,Frequency-agile pest deterrent
Strobe LED,High-intensity white LED + MOSFET,1,1.50,1.50,Nocturnal pest aversion
Diffuser,Piezo atomizer disc + reservoir,1,3.00,3.00,Essential oil micro-dosing
Oil Sensor,Capacitive level sensor,1,1.00,1.00,Oil refill alert
Status LED,WS2812B,1,0.30,0.30,RGB status indicator
MOSFET Drivers,2N7002 + gate driver,3,0.30,0.90,Switch transducer/strobe/diffuser
Power Management,TP4056 + DW01 + 18650 holder,1,1.20,1.20,Charger + protection
Battery,18650 3000 mAh,1,4.00,4.00,Rechargeable backup
Connector,USB-C breakout,1,0.50,0.50,Power + programming
PCB,Custom PCB,1,3.00,3.00,2-layer FR4
Enclosure,3D printed + oil refill port,1,2.50,2.50,Indoor enclosure with reservoir
Miscellaneous,Passives + antenna + essential oil,1,2.00,2.00,Peppermint oil starter
,,Total:,32.90,
