Component,Part,Qty,Unit Price,Total,Notes
MCU,ESP32-S3-N8R2,1,5.50,5.50,Dual-core 240MHz + 8MB PSRAM for ML
Camera,OV2640 module (2MP IR-cut),1,3.50,3.50,PIR-triggered capture
Thermal Array,MLX90640 IR (32x24),1,45.00,45.00,Warm body detection in darkness
PIR Sensor,AM312 motion sensor,1,1.00,1.00,Low-power motion trigger
IR Illumination,850nm IR LED (high-power),2,0.80,1.60,Night vision illumination
Sub-GHz Radio,SX1262 module,1,8.50,8.50,868 MHz mesh
Status LED,WS2812B,1,0.30,0.30,RGB status indicator
Power Management,TP4056 + DW01 + 18650 holder,1,1.20,1.20,Charger + protection
Battery,18650 3000 mAh,1,4.00,4.00,Battery backup
Connector,USB-C breakout,1,0.50,0.50,Power + programming
PCB,Custom PCB,1,3.00,3.00,4-layer FR4
Enclosure,3D printed + IR-transparent window,1,3.00,3.00,Pest-safe housing
Miscellaneous,Passives + MOSFET + antenna,1,3.00,3.00,Resistors caps etc
,,Total:,79.60,
