Component,Part Number,Quantity,Unit Price ($),Total Price ($),Description,Supplier,Package
ESP32-S3-WROOM-1-N8R8,ESP32-S3-WROOM-1-N8R8,1,4.20,4.20,Wi-Fi 6 + BLE 5.0 module 8MB flash + 8MB PSRAM,Espressif,Module
IMX477R,IMX477R,1,12.00,12.00,12MP 4K CMOS image sensor (Raspberry Pi),Sony,Land Grid
ESP-PSRAM64,ESP-PSRAM64,1,1.50,1.50,8MB PSRAM for image buffer,Espressif,SOP-8
MAX98357A,MAX98357A,1,1.80,1.80,3W class-D I2S audio amplifier,Maxim,QFN-16
AM312 PIR,AM312,1,0.60,0.60,PIR motion sensor 3m range,Aught,T0-2
TSL2591,TSL2591,1,2.80,2.80,Digital light sensor for exposure control,AMS,DFN-6
IR LED 850nm,SFH-4725S,1,1.20,1.20,850nm IR LED array 3W for night vision,ams-OSRAM,3535
IR-Cut Filter Driver,ICM-208,1,0.80,0.80,Dual-coil IR-cut filter driver,IC,Module
CS-Mount Lens,CS-3518,1,2.50,2.50,3.5mm f/1.8 CS-mount lens for IMX477,,CS-Mount
SI2302DS,SI2302DS,1,0.08,0.08,N-channel MOSFET for IR LED driver,Vishay,SOT-23
Speaker 3W 8Ω,AS04008PO,1,1.50,1.50,3W 8Ω waterproof speaker,Knowles,40x20mm
CN3801,CN3801,1,0.80,0.80,MPPT LiPo charge controller solar,Consonic,SOP-8
LiPo Battery 3.7V/4000mAh,PL-402040,1,6.00,6.00,3.7V 4000mAh LiPo battery,Powerizer,40x20mm
Solar Panel 5V/2A,SP-5V-2A,1,3.00,3.00,5V 2A monocrystalline solar panel,,100x80mm
AP2112K-3.3,AP2112K-3.3,1,0.35,0.35,3.3V 300mA LDO,Diodes Inc,SOT-23-5
Crystal 32MHz,ECS-3200-8X,1,0.30,0.30,32MHz crystal for ESP32-S3,ECS,3215
32GB eMMC,MTFC4GACAJCN-4M-WT,1,4.00,4.00,32GB eMMC 5.1 flash storage,Micron,FBGA-153
Capacitor 100nF,CL21B104KBCNNNC,6,0.01,0.06,100nF decoupling,Samsung,0402
Capacitor 10uF,CL21A106KAYNNNE,3,0.03,0.09,10uF bulk caps,Samsung,0805
Resistor 10Ω,RC0805FR-0710RL,1,0.01,0.01,IR LED current limiting resistor,Yageo,0805
Resistor 1kΩ,RC0805FR-071KL,3,0.01,0.03,1kΩ resistors,Yageo,0805
LED Green,LTST-C191KGKT,1,0.04,0.04,Green status LED,Lite-On,0805
LED Blue,LTST-C191TBKT,1,0.04,0.04,Blue status LED,Lite-On,0805
LED Red,LTST-C191KRKT,1,0.04,0.04,Red motion LED,Lite-On,0805
IP66 Dome Camera Housing,Dome-IP66,1,5.00,5.00,IP66 weatherproof dome camera housing,,Dome
Pole Mount Bracket,Pole-Bracket,1,1.00,1.00,Stainless steel pole mount bracket,,Custom
Waterproof Cable Gland,CG-12-IP66,2,0.25,0.50,IP66 cable glands,,M12
PCB (4-layer),,1,3.00,3.00,4-layer 50x50mm FR4 PCB,,50x50mm
,Total BOM,36,,37.90,Total pool camera BOM cost at 1K units
