Component,Part Number,Quantity,Unit Price,Total Price,Supplier,Notes
SoC,ESP32-S3-WROOM-1-N8R8,1,5.20,5.20,Mouser,8MB Flash 8MB PSRAM
Sub-GHz Radio,SX1262,1,4.50,4.50,Mouser,Semtech 868 MHz
E-ink Display,2.9 inch UC8151,1,8.90,8.90,Waveshare,296x128 monochrome
Haptic Driver,DRV2605L,1,1.80,1.80,Mouser,TI haptic driver
IMU,ICM-42688-P,1,3.50,3.50,Mouser,6-axis accel+gyro
PPG Sensor,MAX30102,1,2.90,2.90,Mouser,Maxim heart rate
Env Sensor,BME280,1,2.50,2.50,Mouser,Temp/humidity/pressure
Charger IC,TP4056,1,0.40,0.40,LCSC,Li-ion charger
Battery Protection,DW01A,1,0.20,0.20,LCSC,Overcharge/discharge
Fuel Gauge,MAX17048,1,1.50,1.50,Mouser,LiPo fuel gauge
Buck-Boost,TPS63020,1,3.20,3.20,Mouser,TI 5V buck-boost
Battery,18650 LiFePO4 1500mAh,1,4.50,4.50,BatterySpace,Fire-safe chemistry
USB-C Connector,USB4102,1,0.80,0.80,LCSC,USB-C 2.0
Status LED,WS2812B,1,0.30,0.30,LCSC,RGB addressable
Piezo Buzzer,PS1240P02BT,1,0.50,0.50,Mouser,Audible alert
PCB,4-layer FR4 80x60mm,1,4.00,4.00,PCBWay,Custom PCB
Enclosure,ABS injection molded,1,5.00,5.00,Custom,3D printed prototype
Headers,2.54mm headers,1,1.00,1.00,LCSC,Various
Connectors,JST-PH 2.0,5,0.20,1.00,LCSC,Battery + sensor
Passives,R/C/L misc,1,2.00,2.00,Digikey,Resistors/caps/inductors
,,Total,,51.60,,
