sample,fever_c,coughs_per_hour,co2_ppm,hydration_ml,label
0,37.73,19,1308,1433,0.3138
1,36.6,68,692,848,0.9714
2,38.79,64,939,176,1.0
3,36.75,53,643,592,0.7571
4,36.77,54,621,1258,0.7714
5,36.91,28,1791,1384,0.4
6,38.79,7,1681,1299,0.2272
7,38.03,28,595,1240,0.4664
8,39.92,37,1358,395,0.7462
9,38.62,39,1647,1496,0.6707
10,37.14,24,1262,299,0.3429
11,38.65,8,1655,222,0.2303
12,38.94,63,1893,1188,1.0
13,38.15,40,1453,1299,0.6474
14,40.19,46,1113,608,0.8963
15,39.66,31,667,1276,0.6397
16,37.63,63,1203,1593,0.9344
17,38.24,9,741,1148,0.2118
18,38.11,43,811,1101,0.6871
19,38.13,9,2065,1242,0.203
20,38.75,40,1196,1523,0.6954
21,37.84,63,1687,1034,0.9512
22,36.68,11,1052,1070,0.1571
23,39.26,8,624,1597,0.2791
24,39.28,57,1082,1567,0.9807
25,37.98,44,546,1045,0.691
26,37.86,14,1511,220,0.2528
27,37.29,36,764,607,0.5215
28,38.03,63,665,440,0.9664
29,38.24,70,1069,380,1.0
30,39.76,70,1070,1546,1.0
31,38.1,45,1898,879,0.7149
32,40.33,19,669,460,0.5218
33,37.02,29,524,1093,0.4143
34,39.81,23,1038,677,0.5374
35,36.42,53,1594,856,0.7571
36,38.9,40,757,1514,0.7074
37,39.92,6,1435,1493,0.3033
38,39.67,50,1315,917,0.9119
39,38.02,61,1799,920,0.937
40,36.66,8,927,1002,0.1143
41,37.07,43,1730,207,0.6143
42,36.82,19,1598,307,0.2714
43,40.29,3,644,525,0.2901
44,38.92,19,1799,616,0.409
45,40.32,46,1471,351,0.9067
46,36.87,62,1454,1083,0.8857
47,38.38,10,795,309,0.2373
48,39.47,33,1480,1517,0.653
49,37.06,2,920,1181,0.0286
50,37.88,69,555,1181,1.0
51,37.62,11,1925,634,0.1907
52,38.53,21,1228,556,0.4064
53,38.58,64,1175,1403,1.0
54,37.31,24,2150,590,0.3517
55,39.76,29,909,1160,0.6191
56,38.42,3,557,672,0.1405
57,38.34,24,1918,1339,0.4341
58,40.32,57,2155,1580,1.0
59,40.45,46,664,551,0.9171
60,36.82,60,902,791,0.8571
61,37.24,0,1481,1437,0.0032
62,37.81,10,1852,345,0.1917
63,40.13,25,1479,465,0.5915
64,38.18,42,677,1578,0.6784
65,38.02,51,2022,273,0.7942
66,39.37,21,760,156,0.4736
67,37.02,59,2151,1443,0.8429
68,37.0,60,1846,817,0.8571
69,37.04,70,768,143,1.0
70,36.46,13,1578,385,0.1857
71,38.18,24,2191,532,0.4213
72,36.51,27,1099,1126,0.3857
73,37.39,41,1031,1214,0.6009
74,38.12,16,624,824,0.3022
75,40.08,66,1361,1127,1.0
76,36.94,19,1572,1145,0.2714
77,36.48,56,2090,475,0.8
78,38.9,19,852,389,0.4074
79,38.34,15,1639,226,0.3055
80,37.74,66,1586,1237,0.9861
81,38.38,13,1647,216,0.2801
82,37.42,35,586,300,0.5176
83,38.48,3,2056,229,0.1453
84,38.22,64,1741,1148,0.9959
85,37.22,35,1426,1140,0.5016
86,38.59,61,1539,607,0.9826
87,39.27,33,1645,514,0.637
88,39.84,17,1353,349,0.4541
89,38.01,40,648,1474,0.6362
90,37.39,9,935,1471,0.1438
91,37.64,15,2091,416,0.2495
92,40.25,46,792,618,0.9011
93,40.02,59,949,292,1.0
94,38.03,62,833,1467,0.9521
95,39.81,20,1946,983,0.4945
96,40.48,51,1194,962,0.991
97,37.2,40,688,1578,0.5714
98,37.9,43,1634,1039,0.6703
99,38.21,2,1287,778,0.1094
100,38.52,37,1549,231,0.6342
101,36.86,29,714,272,0.4143
102,37.49,5,2095,471,0.0946
103,37.51,16,2178,964,0.2534
104,39.88,33,1331,405,0.6858
105,38.6,65,1668,1112,1.0
106,39.27,11,1071,217,0.3227
107,39.68,23,1371,248,0.527
108,37.5,2,1799,281,0.0526
109,39.69,10,1745,555,0.3421
110,36.67,15,1429,123,0.2143
111,37.79,70,1355,648,1.0
112,38.95,5,1579,1553,0.2114
113,37.38,14,830,636,0.2144
114,36.61,25,1138,1387,0.3571
115,37.65,26,1093,1012,0.4074
116,38.45,22,1054,810,0.4143
117,39.7,32,575,131,0.6571
118,36.48,64,1628,488,0.9143
119,38.51,31,1415,317,0.5477
