sample,fever_c,coughs_per_hour,co2_ppm,hydration_ml,label
0,38.55,35,1403,1125,38.1183
1,38.78,37,838,578,38.2927
2,40.0,30,1739,581,39.1
3,37.09,19,740,385,36.9897
4,38.91,40,535,1011,38.4037
5,40.66,39,1781,522,39.622
6,39.25,33,579,321,38.595
7,36.85,15,1678,261,36.9
8,39.89,20,1352,600,38.9563
9,38.83,40,1052,1223,38.3477
10,36.72,5,1386,769,36.8333
11,38.37,35,620,720,37.9923
12,37.99,14,1500,791,37.5863
13,36.82,36,671,1020,37.04
14,37.14,18,1241,336,37.018
15,40.63,0,887,629,39.341
16,40.5,3,1412,968,39.27
17,40.72,25,1309,349,39.5707
18,39.02,12,1002,889,38.294
19,37.06,21,481,1039,36.982
20,39.81,7,725,704,38.8137
21,39.6,0,572,1152,38.62
22,39.97,11,1595,585,38.9523
23,38.53,12,718,1058,37.951
24,39.34,7,1258,1061,38.4847
25,40.76,0,1002,822,39.432
26,40.79,1,881,583,39.4597
27,38.32,38,1764,1381,37.9773
28,37.11,9,886,1104,36.937
29,37.76,39,1123,806,37.592
30,38.28,4,634,627,37.7227
31,39.09,15,481,955,38.363
32,38.22,29,710,1190,37.8473
33,40.11,8,1240,574,39.0303
34,39.27,19,917,710,38.5157
35,39.67,10,1738,1334,38.7357
36,37.51,24,1438,360,37.317
37,38.43,6,673,279,37.841
38,38.8,16,938,1002,38.1667
39,37.75,38,1455,800,37.5783
40,38.83,4,708,667,38.1077
41,38.67,39,1708,351,38.229
42,37.85,13,483,341,37.4817
43,37.8,28,960,323,37.5467
44,36.89,18,1205,1287,36.92
45,39.05,8,638,941,38.2883
46,37.27,28,1127,1268,37.1757
47,39.1,8,1658,271,38.3233
48,40.49,30,1182,838,39.443
49,40.65,1,1675,353,39.3617
50,38.68,19,1103,479,38.1027
51,40.8,4,1377,1318,39.4867
52,38.21,2,715,899,37.6603
53,38.14,30,609,1054,37.798
54,40.57,1,1473,1373,39.3057
55,36.76,24,1226,1393,36.96
56,36.75,4,614,385,36.8267
57,39.32,16,1302,876,38.5307
58,38.29,37,1387,1102,37.9497
59,38.6,34,621,1262,38.1467
60,39.78,1,1085,379,38.7527
61,38.67,14,681,1218,38.0623
62,39.9,31,973,223,39.0367
63,38.21,9,1702,614,37.707
64,38.83,21,1355,1220,38.221
65,40.36,20,1278,713,39.2853
66,37.51,27,860,638,37.337
67,38.28,37,1098,629,37.9427
68,37.26,31,1168,283,37.1887
69,39.62,17,796,431,38.7473
70,38.55,17,888,1047,37.9983
71,38.27,33,1461,845,37.909
72,39.64,39,1376,856,38.908
73,37.01,2,1019,284,36.8203
74,39.48,17,1618,925,38.6493
75,37.97,36,489,478,37.719
76,38.36,12,500,745,37.832
77,37.67,9,546,436,37.329
78,38.53,40,1546,955,38.1377
79,40.63,12,858,1173,39.421
80,37.75,0,1417,1295,37.325
81,39.63,11,913,757,38.7143
82,39.89,34,1515,1224,39.0497
83,39.22,10,1255,658,38.4207
84,37.06,24,716,1122,37.002
85,38.56,40,463,971,38.1587
86,38.96,32,1152,1149,38.3853
87,38.04,13,652,452,37.6147
88,37.57,24,629,834,37.359
89,38.9,20,986,232,38.2633
90,38.13,5,526,1102,37.6243
91,38.1,26,1013,1198,37.7433
92,40.47,13,581,1078,39.3157
93,39.98,11,1541,886,38.9593
94,39.51,8,1413,504,38.6103
95,40.8,33,1351,1208,39.68
