sample,fever_c,coughs_per_hour,co2_ppm,hydration_ml,label
0,37.31,43,830,472,17.42
1,38.9,14,833,266,73.0
2,36.58,13,1053,61,42.46
3,37.98,43,1696,29,76.46
4,40.17,9,623,537,73.84
5,39.52,27,735,525,60.74
6,37.69,14,1446,879,0.0
7,38.92,27,1092,240,76.04
8,37.65,38,988,918,0.0
9,38.46,8,1351,908,0.0
10,38.39,18,864,367,51.68
11,38.34,16,1210,940,0.0
12,37.32,17,1260,267,38.14
13,38.55,35,932,482,43.7
14,39.76,44,1200,268,91.72
15,36.59,41,1399,798,0.0
16,36.31,27,538,460,0.0
17,36.85,44,1361,519,2.6
18,36.92,26,964,718,0.0
19,37.09,40,1217,1065,0.0
20,39.09,8,1685,486,55.18
21,39.12,13,537,79,96.54
22,37.7,36,1149,373,35.9
23,37.45,10,1587,229,44.8
24,39.81,10,591,878,31.82
25,38.81,35,1562,79,89.72
26,40.09,21,639,1078,17.98
27,36.31,19,698,835,0.0
28,37.48,17,1607,158,52.56
29,39.96,33,1200,73,100.0
30,36.32,21,767,1016,0.0
31,38.48,34,1508,971,0.0
32,37.17,13,1057,65,55.04
33,37.77,45,771,299,44.84
34,37.31,43,890,529,11.72
35,37.96,15,1178,500,28.92
36,38.61,27,867,718,21.42
37,37.96,20,1264,943,0.0
38,36.64,2,1678,8,49.08
39,38.85,19,839,920,6.5
40,38.17,35,1248,681,15.44
41,36.54,33,1340,280,19.68
42,36.88,3,679,754,0.0
43,39.51,13,1080,621,50.92
44,38.65,18,518,711,23.0
45,36.8,23,1455,904,0.0
46,38.58,37,1339,89,83.66
47,37.67,18,714,100,62.54
48,37.56,34,707,10,69.12
49,39.79,43,756,183,100.0
50,38.17,23,594,706,12.94
51,37.33,13,546,487,16.36
52,38.9,15,1514,902,9.4
53,37.06,25,561,106,48.52
54,36.75,8,1543,759,0.0
55,38.38,19,755,610,27.16
56,37.32,23,556,62,58.64
57,36.95,0,669,1073,0.0
58,39.09,5,1133,869,16.88
59,36.93,43,1044,83,47.96
60,36.73,19,1280,793,0.0
61,38.14,17,758,306,52.28
62,38.06,0,1527,59,75.22
63,38.38,17,1129,463,41.86
64,39.96,15,1217,852,37.72
65,36.91,30,1288,535,2.32
66,36.9,37,1549,948,0.0
67,37.06,24,1425,390,20.12
68,36.41,2,1437,1025,0.0
69,37.0,6,461,272,30.6
70,37.5,31,1619,1067,0.0
71,39.13,3,888,877,16.96
72,36.41,34,495,293,15.52
73,37.46,39,764,109,57.02
74,39.15,27,977,462,58.9
75,38.2,38,642,499,34.3
76,37.53,32,469,920,0.0
77,39.78,21,901,104,100.0
78,38.35,27,932,1044,0.0
79,39.19,6,1205,303,75.68
80,39.93,22,723,706,51.66
81,39.11,42,1030,190,85.22
82,37.3,8,706,365,27.9
83,38.63,3,1569,290,64.66
84,38.68,32,503,946,0.16
85,39.72,24,1633,1022,15.44
86,39.44,32,1297,138,97.68
87,39.94,28,1529,574,65.08
88,37.62,43,705,421,29.34
89,38.97,24,1637,159,85.24
90,39.29,26,1064,53,100.0
91,40.15,28,1247,840,43.1
92,38.18,3,613,512,32.56
93,37.14,9,1540,664,0.0
94,40.16,33,875,883,39.02
95,39.94,18,473,417,80.78
96,38.75,5,681,263,70.0
97,40.03,35,1241,434,81.06
98,37.52,1,777,379,31.34
99,36.49,14,1345,364,10.18
100,38.87,45,1288,165,82.44
101,39.41,32,767,228,88.02
102,36.51,39,556,1062,0.0
103,39.5,11,637,873,25.5
104,37.49,19,951,537,14.88
105,37.4,37,1584,855,0.0
106,39.84,17,883,198,100.0
107,39.57,5,779,96,100.0
108,39.64,16,756,449,70.98
109,38.74,6,661,1009,0.0
110,38.02,6,544,860,0.0
111,36.83,30,927,979,0.0
112,37.59,23,705,4,70.38
113,39.08,31,630,207,82.86
114,39.3,17,1366,31,100.0
115,37.94,8,452,1065,0.0
116,36.85,22,759,877,0.0
117,39.83,1,1180,741,45.96
118,37.58,22,845,219,48.66
119,36.88,10,1603,346,20.56
120,38.76,3,1677,885,8.02
121,39.3,31,1290,426,65.8
122,39.49,39,1221,41,100.0
123,37.85,25,1146,878,0.0
124,37.86,5,1587,496,27.12
125,37.86,38,1593,100,66.72
126,39.35,28,660,1098,0.0
127,39.62,32,1376,292,86.24
128,39.77,35,538,385,80.24
129,36.4,27,541,1021,0.0
130,37.36,27,537,716,0.0
131,37.04,29,1269,327,25.98
132,38.02,13,1333,805,0.0
133,36.52,25,904,391,8.14
134,38.5,27,869,79,82.9
135,36.44,1,1364,1074,0.0
136,39.12,39,1255,823,22.14
137,39.87,32,720,928,28.14
138,36.64,31,1651,916,0.0
139,36.62,34,1499,1041,0.0
140,36.35,45,1451,362,7.3
141,37.23,7,506,860,0.0
142,39.04,35,866,953,7.38
143,38.17,26,535,413,42.24
