sample,fever_c,coughs_per_hour,co2_ppm,hydration_ml,label
0,38.43,50,1515,397,46.54
1,37.89,25,1161,1233,109.7
2,37.15,9,1668,684,113.86
3,36.56,26,1120,698,111.44
4,38.95,49,1116,787,53.58
5,36.28,39,862,294,89.92
6,39.24,7,1560,1083,93.8
7,37.48,46,600,351,65.0
8,37.57,6,1635,1016,121.98
9,38.69,25,1351,1498,105.9
10,39.46,36,1478,474,42.28
11,38.81,26,926,1266,93.66
12,38.1,6,874,949,109.76
13,36.83,8,1732,1160,139.46
14,36.55,45,1388,164,75.06
15,39.36,57,1432,1366,62.96
16,36.6,30,1474,1161,126.04
17,37.42,57,1559,525,64.24
18,39.14,15,637,203,54.0
19,37.74,28,682,1486,120.12
20,37.07,8,1424,731,117.98
21,37.68,18,800,1094,113.52
22,37.65,19,542,308,81.82
23,36.89,43,1311,357,78.26
24,37.73,29,1485,1074,103.02
25,38.37,1,808,1044,112.7
26,38.34,4,624,408,85.4
27,36.76,18,1406,379,101.48
28,36.87,30,589,1028,115.86
29,38.34,40,763,167,46.96
30,39.1,39,1786,743,57.12
31,39.34,59,530,1316,59.72
32,38.0,22,968,581,84.04
33,37.07,20,576,200,87.14
34,38.76,41,881,281,43.16
35,36.85,33,1404,1179,119.86
36,36.65,20,1500,684,114.06
37,38.06,45,1076,1462,99.8
38,38.66,33,1034,1472,99.0
39,37.87,27,1429,277,70.22
40,39.08,14,766,230,56.96
41,37.71,59,687,1200,84.42
42,38.15,6,983,1106,115.14
43,38.5,43,1114,825,68.0
44,37.42,28,1129,343,80.16
45,38.3,42,1533,1071,82.24
46,37.56,2,1191,341,98.36
47,37.25,23,1387,1365,128.1
48,38.61,2,1055,686,93.26
49,37.11,14,1252,215,91.82
50,39.41,10,1412,1285,96.42
51,36.55,38,1503,336,87.54
52,39.08,37,1342,245,39.16
53,38.56,8,1705,814,94.48
54,37.01,46,1567,218,68.14
55,37.11,9,961,742,116.9
56,36.6,54,1359,412,76.88
57,36.44,28,1086,1270,134.88
58,37.54,14,1174,361,89.92
59,38.43,16,731,859,92.22
60,37.72,35,902,1286,106.88
61,37.68,19,572,1344,122.72
62,39.0,28,702,539,59.56
63,38.23,31,707,941,87.1
64,37.92,31,1167,1077,98.12
65,36.36,27,504,1330,139.52
66,36.94,19,1590,649,108.24
67,36.54,25,1304,1448,142.6
68,36.65,34,921,469,94.26
69,37.71,45,1695,1127,92.7
70,36.48,48,1272,1048,109.28
71,38.15,36,454,645,72.7
72,38.98,60,621,705,40.96
73,37.02,10,1516,962,126.52
74,37.07,29,1316,194,79.7
75,36.66,11,1324,188,101.24
76,37.09,50,1453,1375,109.78
77,39.46,15,1082,519,60.88
78,38.75,34,1073,203,45.82
79,36.6,3,630,1243,150.92
80,37.71,2,641,930,119.22
81,38.47,19,1212,839,88.3
82,37.13,9,694,1397,142.74
83,36.38,23,818,388,104.68
84,38.31,31,1170,666,74.66
85,38.56,29,668,1255,95.32
86,39.44,50,1628,577,35.56
87,36.31,10,1006,1327,153.9
88,37.47,1,880,1251,137.18
89,37.82,4,501,1144,124.2
90,36.95,38,812,529,88.06
91,36.75,24,798,1244,131.46
92,36.43,59,834,664,86.02
93,36.54,41,1448,1234,121.24
94,39.19,26,874,1249,86.14
95,36.44,38,1529,1045,117.88
96,37.35,12,1100,1218,129.22
97,36.7,42,1662,546,90.04
98,39.2,53,535,688,41.92
99,38.99,53,1321,1108,62.5
100,36.82,44,1548,284,75.8
101,38.49,25,1474,199,57.54
102,39.04,39,1782,1064,71.04
103,38.12,33,1602,720,78.64
104,39.18,28,1244,1324,87.72
105,37.24,30,721,1269,118.84
106,39.35,59,1261,454,25.06
107,36.36,48,1253,1368,124.24
108,36.91,57,645,316,65.06
109,38.98,42,749,1131,72.4
110,37.51,40,672,1205,103.42
111,38.16,30,536,446,69.36
112,39.42,54,497,1138,55.16
113,36.72,31,1347,458,94.96
114,39.27,8,1028,823,82.06
115,37.21,31,1241,746,97.66
116,39.44,59,1270,942,42.96
117,38.41,50,915,1278,82.14
118,38.67,23,790,538,69.46
119,36.24,8,1700,220,112.48
120,38.65,4,1169,1224,112.46
121,38.59,60,1438,1459,78.14
122,37.42,25,1282,1079,112.0
123,37.79,48,590,286,55.22
124,38.7,37,1173,894,71.96
125,36.72,18,759,886,122.48
126,39.36,17,1507,920,77.12
127,37.83,11,1121,873,107.58
