sample,fever_c,coughs_per_hour,co2_ppm,hydration_ml,label
0,38.13,38,1947,693,100.0
1,36.91,69,1589,325,100.0
2,39.51,31,2023,959,100.0
3,37.18,64,1750,1411,100.0
4,39.26,51,1013,1228,86.42
5,36.52,25,1068,1545,65.22
6,38.16,26,1805,1205,95.6
7,36.73,8,1716,939,75.84
8,36.59,60,1030,1497,95.2
9,39.14,64,1827,136,100.0
10,37.81,73,661,826,92.14
11,36.48,61,1985,1287,100.0
12,39.01,51,1428,339,100.0
13,38.25,31,1923,219,100.0
14,37.24,35,1239,1336,81.06
15,39.2,68,980,612,100.0
16,38.6,44,1756,449,100.0
17,37.46,73,1566,786,100.0
18,36.33,44,528,1056,60.72
19,38.91,60,671,1592,80.84
20,36.99,33,757,1564,59.98
21,39.49,2,1016,925,42.44
22,38.0,75,2053,475,100.0
23,36.98,32,1067,1485,71.48
24,36.69,27,655,1199,50.5
25,37.37,40,1744,201,100.0
26,36.87,53,830,1515,80.9
27,39.0,32,2103,1083,100.0
28,36.56,10,1440,560,66.6
29,38.16,33,1119,704,74.46
30,36.47,62,2058,1096,100.0
31,37.08,52,2562,1383,100.0
32,37.86,58,1345,569,100.0
33,37.99,24,1941,1325,99.24
34,36.4,73,2577,965,100.0
35,36.49,42,1142,1238,83.48
36,37.11,40,1957,452,100.0
37,39.79,27,1692,988,91.98
38,37.54,75,832,1162,100.0
39,36.67,1,1236,1279,50.34
40,39.45,70,1182,1020,100.0
41,37.92,64,1011,1198,98.04
42,38.22,57,499,702,71.26
43,37.22,1,2364,790,95.46
44,38.93,27,662,647,50.78
45,36.64,1,562,331,23.38
46,37.95,38,1285,302,85.6
47,39.02,3,2315,1198,95.3
48,39.17,28,572,919,48.08
49,39.08,54,688,1204,76.12
50,36.51,68,1524,651,100.0
51,37.55,69,2156,930,100.0
52,39.5,67,1839,265,100.0
53,38.95,4,1616,766,68.24
54,37.43,42,971,1202,76.64
55,39.23,63,1610,1006,100.0
56,36.74,31,751,1494,57.94
57,37.77,25,2427,848,100.0
58,36.75,64,1071,701,100.0
59,36.59,56,2041,1171,100.0
60,38.42,19,1034,436,58.46
61,38.35,40,2470,676,100.0
62,39.65,52,719,1363,75.56
63,37.13,19,1415,974,73.7
64,38.22,69,2265,1127,100.0
65,39.1,36,1443,1115,90.12
66,37.18,24,1975,114,100.0
67,38.52,42,2468,257,100.0
68,37.81,65,1999,599,100.0
69,36.9,37,748,690,63.22
70,37.49,59,1766,404,100.0
71,39.67,34,1712,885,99.08
72,39.32,73,2555,1394,100.0
73,36.8,13,1504,585,71.86
74,37.06,69,1962,1588,100.0
75,37.83,34,772,730,61.48
76,37.72,26,1743,124,93.12
77,36.42,72,696,820,92.64
78,38.66,62,2104,966,100.0
79,38.44,38,2290,432,100.0
80,38.93,27,1225,526,73.3
81,39.29,25,1392,1397,78.18
82,39.25,9,2315,1449,100.0
83,36.99,64,962,1296,96.08
84,37.99,56,809,368,82.76
85,37.12,55,2062,566,100.0
86,38.7,48,2440,785,100.0
87,39.28,30,1788,890,98.52
88,39.55,22,2468,123,100.0
89,37.96,52,2422,303,100.0
90,39.66,23,2484,162,100.0
91,37.23,16,1264,421,64.96
92,37.2,4,959,696,41.96
93,37.84,11,1663,1354,76.42
94,38.56,68,1725,1425,100.0
95,37.62,33,588,1426,53.22
96,36.41,68,1617,1195,100.0
97,38.44,9,677,662,35.18
98,37.33,44,2423,534,100.0
99,38.99,13,628,861,36.82
100,37.6,57,1798,1109,100.0
101,37.58,28,482,1330,44.48
102,39.13,14,1876,1162,87.64
103,39.06,48,921,1351,80.04
104,38.25,10,617,1561,33.68
105,37.67,14,2338,394,100.0
106,38.57,70,2262,196,100.0
107,38.67,34,524,1314,51.56
108,36.67,12,1025,1074,51.8
109,37.07,38,1690,1340,100.0
110,37.46,2,2241,281,91.44
111,37.64,59,875,768,88.1
112,38.18,41,2330,217,100.0
113,39.35,11,2367,708,100.0
114,38.43,15,1080,245,56.7
115,38.67,4,1081,1271,46.84
116,38.67,37,2167,274,100.0
117,36.68,48,680,1102,70.4
118,38.1,52,1528,1281,100.0
119,37.13,64,2108,1333,100.0
120,36.75,28,1807,574,97.48
121,38.6,60,1739,532,100.0
122,38.47,26,2366,526,100.0
123,37.84,46,2239,1364,100.0
124,36.48,15,1471,111,72.34
125,37.21,33,1931,977,100.0
126,37.65,5,2585,131,100.0
127,36.38,69,1776,1534,100.0
128,38.37,22,1917,1299,96.48
129,38.43,40,1427,644,93.08
130,38.3,57,903,362,87.42
131,36.38,17,2309,1139,100.0
132,36.84,56,479,115,69.56
133,36.91,48,2083,303,100.0
134,37.28,25,1026,1559,63.54
135,36.36,59,1789,407,100.0
136,37.97,54,1931,635,100.0
137,38.79,57,2372,283,100.0
138,36.9,31,2490,610,100.0
139,37.39,33,2569,1581,100.0
140,38.33,41,2297,634,100.0
141,38.08,1,2305,648,93.1
142,38.92,65,1319,536,100.0
143,36.67,45,915,1563,77.1
144,36.44,45,1787,565,100.0
145,37.03,22,1117,1279,64.48
146,39.73,79,489,1100,90.66
147,39.53,4,2333,941,96.92
148,37.75,66,2357,1290,100.0
149,39.4,7,558,282,28.62
150,36.52,21,1613,1287,83.42
151,39.13,4,1087,686,47.08
152,36.95,42,1120,1596,82.6
153,39.3,40,2452,578,100.0
154,38.27,37,2148,542,100.0
155,36.89,76,2200,734,100.0
156,37.93,39,705,1545,63.3
157,38.99,67,1802,372,100.0
158,39.68,41,603,109,61.02
159,38.86,38,861,273,68.64
