Item,Qty,Part Number,Description,Supplier,Unit Cost (qty 1),Unit Cost (qty 1K),Extended Cost (qty 1),Extended Cost (qty 1K)
1,1,ESP32-S3-WROOM-1-N8R2,MCU WiFi+BLE 8MB flash 2MB PSRAM,Mouser,$3.80,$2.20,$3.80,$2.20
2,1,CC1101RGP,Sub-GHz transceiver 868 MHz QFN-20,Digi-Key,$2.80,$1.60,$2.80,$1.60
3,1,VL53L1X,ToF distance sensor 50-400cm I2C,Adafruit,$15.95,$9.20,$15.95,$9.20
4,1,VEML7700,Ambient light sensor 0-120klux I2C,Adafruit,$4.95,$2.80,$4.95,$2.80
5,1,TCS34725,RGBC color sensor I2C,Adafruit,$7.95,$4.50,$7.95,$4.50
6,1,APDS9306-025,Digital ambient light sensor I2C 470nm,Digi-Key,$2.10,$1.20,$2.10,$1.20
7,1,SSD1306 0.96",0.96 inch 128x64 OLED I2C,Amazon,$3.50,$2.00,$3.50,$2.00
8,1,MCP1603T-3302,3.3V LDO regulator SOT-23,Digi-Key,$0.95,$0.50,$0.95,$0.50
9,1,USB-C connector,USB-C 16-pin SMD female,Digi-Key,$1.40,$0.70,$1.40,$0.70
10,1,PCB,4-layer FR4 45x35mm PCB,JLCPCB,$2.50,$0.90,$2.50,$0.90
11,1,Enclosure,ABS injection-molded 45x35x15mm,Local,$2.00,$1.00,$2.00,$1.00
12,1,Monitor clip,Spring-loaded monitor-top clip,Local,$1.80,$0.90,$1.80,$0.90
,,,,,,Total:,$34.50,$22.80
