Ref,Designator,Qty,Value,Footprint,Manufacturer,MPN,UnitPrice,ExtendedPrice,Notes
1,U1,1,ESP32-S3-WROOM-1-N16R8,Module,Witson/Wroom,ESP32-S3-WROOM-1-N16R8,9.50,9.50,16MB flash 8MB PSRAM
2,U2,1,SX1262IMLTRT,RF_Module,Semtech,SX1262IMLTRT,7.80,7.80,Sub-GHz LoRa 868MHz
3,U3,1,SIM7000A,Cellular,Simcom,SIM7000A,18.50,18.50,4G LTE Cat-M1 cellular backup
4,U4,1,BME280,Sensor,Bosch,BME280,3.50,3.50,Temp/humidity/pressure
5,U5,1,DS3231SN,SOIC-16,Maxim,DS3231SN,4.80,4.80,RTC battery-backed
6,U6,1,AP2112K-3.3,SOT-23-5,Diodes,AP2112K-3.3,0.45,0.45,3.3V LDO
7,U7,1,TPS25940,SON-8,TI,TPS25940DDCR,1.80,1.80,eFuse overcurrent protection
8,BT1,1,CR2032,CR2032,Various,CR2032,0.30,0.30,RTC backup battery
9,J1,1,microSD slot,SMD,Various,microSD-SMD,1.20,1.20,SD card slot
10,J2,1,USB-C 16P,SMD,Various,USB-C-16P,0.80,0.80,Power + debug
11,J3,1,SMA connector,SMD,Various,SMA-R-SMD,1.50,1.50,868MHz antenna
12,J4,1,SMA connector,SMD,Various,SMA-R-SMD,1.50,1.50,Cellular antenna
13,LED1-3,3,SK6812,5050,Worldsemi,SK6812MINI,0.25,0.75,RGB status LEDs
14,BZ1,1,CMT-8543S-SMT,SMT,CUI,CMT-8543S-SMT,0.90,0.90,Buzzer
15,Y1,1,32MHz crystal,HC-49,Various,32MHz-HC49,0.40,0.40,SX1262 crystal
16,C1-C8,8,0.1µF,0603,Various,0.1uF-0603,0.05,0.40,Decoupling caps
17,C9,1,22µF,0805,Various,22uF-0805,0.25,0.25,Bulk cap
18,R1-R4,4,10kΩ,0603,Various,10k-0603,0.03,0.12,Pullups
19,SIM1,1,Nano SIM holder,SMD,Various,NanoSIM-SMD,1.20,1.20,SIM card slot
20,PCB,1,4-layer PCB,Custom,Various,PCB-Hub,10.00,10.00,100×80mm
21,ENCL,1,IP54 enclosure,Custom,Various,ENCL-Hub,4.50,4.50,DIN rail mount
Total,,,,,,,70.17,70.17
