Ref,Designator,Qty,Value,Footprint,Manufacturer,MPN,UnitPrice,ExtendedPrice,Notes
1,U1,1,ESP32-S3-WROOM-1-N8R2,Module,Espressif,ESP32-S3-WROOM-1-N8R2,6.50,6.50,8MB flash 2MB PSRAM
2,U2,1,SX1262IMLTRT,RF_Module,Semtech,SX1262IMLTRT,7.80,7.80,Sub-GHz LoRa 868MHz
3,U3,1,BME280,Sensor,Bosch,BME280,3.50,3.50,Temp/humidity/pressure
4,U4,1,MCP73871,QFN-20,Microchip,MCP73871,2.80,2.80,Solar/battery management
5,ANEM1,1,Davis 6410,Sensor,Davis,D6410,12.00,12.00,Anemometer + vane
6,RAIN1,1,TB-204 tipping bucket,Sensor,Optolis,TB-204,6.50,6.50,0.2mm rain gauge
7,BT1,1,LiFePO4 3.2V 3000mAh,Battery,Various,LiFePO4-3000,5.50,5.50,Extended autonomy
8,SOL1,1,5W 6V solar panel,Panel,Various,SOL-5W6V,2.50,2.50,Monocrystalline weatherproof
9,J1,1,SMA connector,SMD,Various,SMA-R-SMD,1.50,1.50,868MHz antenna
10,LED1,1,Green LED,0603,Various,LED-G-0603,0.10,0.10,Status indicator
11,R1-R4,4,10kΩ,0603,Various,10k-0603,0.03,0.12,Pullups
12,C1-C6,6,0.1µF,0603,Various,0.1uF-0603,0.05,0.30,Decoupling caps
13,PCB,1,4-layer PCB,Custom,Various,PCB-Wx,7.00,7.00,80×60mm
14,ENCL,1,IP65 Stevenson screen,Custom,Various,ENCL-Stevek,4.00,4.00,UV-resistant ASA
Total,,,,,,,48.17,48.17
