Component,Part,Qty,UnitPrice,Total,Supplier,PartNumber
SoC,nRF52840 QFAA,1,5.80,5.80,Mouser,nRF52840-QFAA-R
Sub-GHz Radio,SX1262,1,4.50,4.50,Mouser,SX1262IMLTRT
IMU,ICM-42688-P,1,3.50,3.50,DigiKey,ICM-42688-P
FSR,Force-Sensitive Resistor 40mm,2,2.50,5.00,Adafruit,FSR-40
Battery,CR2477 coin cell,1,1.80,1.80,DigiKey,CR2477
Battery Holder,CR2477 PCB holder,1,0.50,0.50,LCSC,CR2477-Holder
Antenna,868 MHz chip antenna,1,0.80,0.80,LCSC,ANT-868
Status LED,LED 0603,1,0.10,0.10,LCSC,LED-0603
Button,Tactile switch,1,0.20,0.20,LCSC,TS-1187
PCB,4-layer flex 30x20mm,1,4.00,4.00,JLCPCB,Flex-4L
Enclosure,IP67 shoe clip,1,3.00,3.00,Custom,GaitPod-Enclosure
Total,,,,28.10,,
