Component,Part,Qty,UnitPrice,Total,Supplier,PartNumber
SoC,ESP32-S3-WROOM-1-N8R8,1,5.20,5.20,Mouser,ESP32-S3-WROOM-1-N8R8
Sub-GHz Radio,SX1262,1,4.50,4.50,Mouser,SX1262IMLTRT
E-ink Display,2.9" UC8151 296x128,1,8.90,8.90,DigiKey,296x128 UC8151
Haptic Driver,DRV2605L,1,1.80,1.80,DigiKey,DRV2605L
Accelerometer,ADXL362,1,3.20,3.20,DigiKey,ADXL362BCCZ
PPG Sensor,MAX30102,1,2.90,2.90,DigiKey,MAX30102
Env Sensor,BME280,1,2.50,2.50,DigiKey,BME280
4G LTE Module,SIM7600G,1,12.00,12.00,Mouser,SIM7600G-H
Charger IC,TP4056,1,0.40,0.40,LCSC,TP4056
Battery Protection,DW01A,1,0.20,0.20,LCSC,DW01A
Fuel Gauge,MAX17048,1,1.50,1.50,DigiKey,MAX17048G+T10
Buck-Boost,TPS63020,1,3.20,3.20,DigiKey,TPS63020DSJR
Battery,18650 LiFePO4 1500mAh,1,4.50,4.50,BatterySpace,IFR26650-1500
SIM Card Holder,Nano SIM,1,0.80,0.80,LCSC,SIM-Nano
USB-C Connector,USB-C 16-pin,1,0.80,0.80,LCSC,TYPE-C-31-M-12
Headers,2.54mm pin headers,1,1.00,1.00,LCSC,Header-2.54
PCB,4-layer FR4 80x60mm,1,4.00,4.00,JLCPCB,4-layer
Enclosure,ABS injection molded,1,5.00,5.00,Custom,Hub-Enclosure
Total,,,,62.30,,
