Qty,Part,Description,Unit Cost,Total Cost
1,ESP32-WROOM-32E,Dual-core 240MHz 4MB flash,3.20,3.20
1,SX1262IMLTRT,868 MHz LoRa Sub-GHz transceiver,5.80,5.80
1,SHT40,Temp/humidity sensor ±0.2°C,1.50,1.50
1,HC-SR04,Ultrasonic distance sensor,2.20,2.20
2,SRD-05VDC-SL-C,Relay humidifier+fan,1.50,3.00
1,SK6812 RGB LED,Status indicator,0.60,0.60
1,868MHz whip SMA,Sub-GHz antenna,3.50,3.50
1,USB-C connector,Power input,0.80,0.80
1,PCB 2-layer 40x40mm,Humidity node PCB,3.50,3.50
1,IP54 enclosure,Wall/desk mount,3.50,3.50
1,Passives+connectors,Resistors caps misc,1.60,1.60
,,Subtotal,,$28.40
