Component,Part,Qty,Unit_USD,Total_USD,Notes
MCU,ESP32-S3-WROOM-1-N8R2,1,4.20,4.20,8 MB flash 2 MB PSRAM vector instructions KeywordNet
Sub-GHz Radio,SX1262,1,7.20,7.20,868 MHz +22 dBm TDMA mesh node
Sub-GHz Antenna,PCB trace 868 MHz,1,0.50,0.50,Internal compact antenna
Microphone,INMP441,1,3.50,3.50,I²S MEMS microphone voice command capture
Audio Amp,MAX98357A,1,2.50,2.50,I²S Class-D amplifier voice reminder speaker
Speaker,4 ohm 3W full-range,1,2.00,2.00,Voice reminders family voice time announcements
Flash Storage,W25Q128JVSIQ,1,3.20,3.20,16 MB SPI flash 120 voice clips 10sec each
Edge AI,TFLite-Micro,0,0.00,0.00,KeywordNet int8 40KB on-device 10-keyword detection
USB-C Connector,Amphenol 12401598E4#2A,1,1.50,1.50,Power + programming
Battery Charger,MCP73871,1,2.20,2.20,USB-C + LiPo management
eFuse,TPS25940,1,1.80,1.80,Overcurrent protection
3.3V Regulator,AP2112K-3.3,1,0.50,0.50,LDO
LiPo Battery,3.7V 1500 mAh,1,4.00,4.00,Backup 12 hours
LED,SK6812 RGB,1,0.30,0.30,Status listening speaking alert
PCB,4-layer FR4 55x40mm,1,3.50,3.50,Custom voice node PCB
Passives,Resistors/Caps/Misc,1,2.50,2.50,Decoupling pull-ups I²S filter etc
Enclosure,3D-printed ASA,1,2.50,2.50,Desk/nightstand 80x60x35mm IP54
Total,,,,38.90,
