rain_mm,turbidity_ntu,orp_mv,ph,risk
21.71,3.73,269.4,6.69,0.495
24.38,3.9,165.9,6.77,0.657
30.23,5.2,153.2,6.42,0.85
4.35,5.3,237.1,5.97,0.645
47.15,6.28,231.5,6.95,0.823
7.56,0.29,214.0,6.0,0.151
9.13,1.72,144.2,6.69,0.464
21.15,5.51,212.7,6.99,0.671
23.99,4.37,204.0,6.37,0.595
47.89,6.47,257.6,7.1,0.844
15.13,1.65,180.5,6.02,0.399
36.78,2.72,258.5,6.56,0.437
45.99,5.54,140.1,6.26,0.983
43.69,3.16,277.3,6.58,0.501
3.51,4.17,249.0,6.36,0.498
4.18,2.3,275.0,7.19,0.302
5.66,1.75,154.1,6.0,0.466
38.26,1.32,218.3,6.66,0.301
9.15,4.81,158.3,6.99,0.729
5.59,2.85,169.8,6.36,0.498
46.6,5.26,182.6,7.4,0.805
10.11,2.68,259.6,6.99,0.357
4.82,6.43,169.9,6.34,0.855
37.09,2.27,181.5,6.02,0.52
4.33,3.87,174.0,6.92,0.572
17.84,3.06,274.3,6.72,0.417
27.58,5.66,165.6,6.16,0.871
43.6,5.35,174.9,6.22,0.852
35.49,6.12,167.5,7.52,0.906
42.35,4.0,199.0,6.08,0.649
1.86,6.26,173.4,7.1,0.806
12.34,5.39,223.5,6.4,0.642
8.42,4.74,149.6,6.29,0.764
26.85,5.57,226.0,6.38,0.703
44.03,1.49,142.3,6.36,0.558
21.39,0.58,164.7,6.53,0.321
27.46,1.03,190.7,7.41,0.302
47.06,4.34,236.8,6.89,0.628
6.74,0.42,142.5,7.45,0.332
33.65,6.27,143.0,6.98,0.99
23.15,4.8,184.6,7.6,0.686
3.61,3.64,243.2,7.43,0.434
35.38,4.63,251.1,7.46,0.624
16.89,4.52,266.1,7.38,0.56
20.02,5.18,260.9,6.87,0.635
30.0,2.61,221.6,6.94,0.407
3.85,4.23,279.1,7.4,0.494
34.95,2.65,242.9,6.89,0.425
21.15,5.48,151.7,7.18,0.851
1.43,3.99,207.3,6.29,0.488
33.52,3.33,226.0,7.46,0.489
12.28,0.27,182.1,7.05,0.209
9.72,1.27,266.8,7.02,0.215
21.21,5.82,185.8,7.03,0.778
9.53,2.91,252.8,7.45,0.378
42.25,2.62,221.6,6.44,0.448
6.54,3.33,257.2,7.34,0.412
34.14,6.19,178.8,6.19,0.899
21.63,1.93,170.0,6.6,0.44
30.04,3.31,184.2,7.33,0.557
47.14,3.05,150.5,5.95,0.73
41.9,0.46,239.2,6.87,0.226
14.83,5.19,142.7,6.13,0.861
21.83,0.36,256.2,6.3,0.174
6.76,0.5,228.1,6.66,0.129
30.24,4.33,253.0,7.53,0.579
32.86,1.46,206.5,6.2,0.335
0.52,3.17,240.0,6.2,0.402
13.07,2.38,237.6,6.78,0.335
29.49,4.96,195.1,7.25,0.687
43.5,0.75,270.6,7.13,0.259
6.24,3.06,227.6,7.45,0.384
18.09,3.78,263.1,7.25,0.49
45.32,3.12,231.2,6.25,0.521
34.65,5.36,229.8,7.12,0.695
10.24,5.87,277.3,7.56,0.676
25.77,5.18,184.9,7.45,0.73
41.08,2.4,151.6,6.65,0.6
26.41,5.04,208.2,5.95,0.689
38.84,0.6,252.0,6.19,0.256
16.08,5.16,159.7,6.15,0.807
24.79,4.76,257.6,7.07,0.607
45.4,3.3,272.9,6.05,0.556
10.63,3.52,180.6,7.14,0.534
30.67,3.49,258.1,6.85,0.497
14.96,2.6,258.3,7.43,0.363
10.0,5.56,275.6,6.79,0.645
27.5,1.47,215.0,6.76,0.286
29.05,0.37,275.7,6.78,0.18
19.23,5.25,218.8,6.73,0.64
33.17,0.62,215.4,6.6,0.217
45.93,6.02,177.7,6.7,0.894
6.09,2.93,254.2,7.43,0.37
22.87,2.2,166.8,6.95,0.48
44.41,1.02,249.1,5.94,0.334
9.32,1.63,236.2,6.45,0.254
17.06,4.1,154.7,7.14,0.692
5.89,3.42,175.1,6.24,0.549
25.46,2.95,192.6,6.6,0.482
25.41,1.21,168.6,6.97,0.383
30.65,3.54,259.2,6.94,0.502
41.12,1.67,243.7,7.28,0.344
43.33,2.19,184.1,7.47,0.484
10.47,6.49,264.3,6.13,0.769
11.49,4.78,176.3,6.06,0.711
39.94,2.86,250.6,6.11,0.491
19.33,4.52,142.5,6.24,0.799
32.75,5.94,275.6,6.1,0.78
24.27,4.98,210.4,7.07,0.627
9.07,0.64,154.9,5.96,0.365
26.48,3.44,219.6,6.15,0.508
8.86,1.48,257.6,7.58,0.233
44.49,0.8,148.7,7.52,0.459
22.18,5.02,185.8,6.69,0.701
24.73,2.91,224.1,5.92,0.468
33.65,5.52,165.4,6.67,0.848
35.49,2.75,167.3,6.18,0.595
24.6,0.3,265.0,7.26,0.16
33.82,5.62,228.1,6.59,0.719
28.78,3.38,277.6,7.27,0.48
12.4,5.94,244.2,7.22,0.689
39.1,2.76,265.5,7.4,0.448
33.35,5.03,247.1,6.59,0.658
34.69,0.64,187.8,6.7,0.292
0.51,2.44,229.4,6.96,0.305
11.14,6.15,233.3,6.47,0.709
31.67,3.79,214.6,6.56,0.529
47.99,4.25,238.2,7.19,0.622
47.04,0.34,226.2,7.16,0.228
12.32,2.73,147.1,6.23,0.586
18.03,0.82,175.1,7.44,0.303
26.4,3.4,275.4,6.87,0.475
47.77,4.22,253.3,6.03,0.656
28.68,4.98,146.3,7.48,0.839
7.68,3.17,163.7,6.74,0.544
29.34,0.57,272.3,6.62,0.201
25.28,3.97,191.2,6.39,0.597
31.45,3.73,179.7,7.12,0.618
14.21,0.29,174.3,5.97,0.284
7.52,4.95,194.6,7.43,0.625
35.92,0.52,278.4,7.51,0.215
3.53,5.9,200.1,6.71,0.691
46.71,1.74,213.3,7.49,0.367
34.69,3.15,277.0,7.29,0.474
28.97,0.93,227.4,6.67,0.236
9.78,0.53,213.9,6.11,0.172
21.26,4.41,203.8,6.35,0.593
27.95,2.84,248.9,6.8,0.424
47.89,6.2,242.8,6.31,0.832
5.47,5.82,249.8,6.96,0.658
17.24,1.91,235.9,6.86,0.3
28.4,4.19,245.5,6.22,0.583
11.95,6.37,268.2,7.39,0.731
1.9,0.58,177.9,6.62,0.224
29.92,0.85,215.8,6.02,0.269
4.15,4.46,217.1,6.97,0.518
17.91,3.21,169.5,6.48,0.56
35.75,5.48,150.4,6.1,0.928
38.84,4.13,247.6,6.26,0.603
20.37,1.83,253.4,6.53,0.301
31.38,6.43,185.6,6.83,0.869
35.81,6.0,199.9,6.53,0.794
4.66,5.71,151.0,6.04,0.865
27.08,3.25,235.9,6.41,0.47
37.22,0.68,169.9,7.03,0.36
3.92,2.11,241.5,7.08,0.282
13.58,1.1,190.1,7.13,0.271
17.59,0.94,239.3,6.87,0.204
44.09,6.12,267.9,6.64,0.798
38.55,2.12,184.5,6.58,0.462
44.86,5.84,174.8,6.51,0.882
17.55,2.49,195.4,6.56,0.405
9.36,3.75,251.6,6.82,0.462
40.15,3.75,164.7,7.19,0.691
42.28,1.97,143.1,6.78,0.587
26.12,3.78,275.3,7.01,0.513
38.61,0.6,216.6,7.24,0.23
4.03,0.71,243.2,7.43,0.143
4.07,4.2,160.1,7.17,0.648
31.15,1.75,170.9,7.2,0.446
25.03,5.02,195.2,6.47,0.682
46.48,4.44,209.1,6.81,0.64
34.6,4.66,268.1,6.6,0.625
39.66,4.4,259.5,7.27,0.613
40.02,5.8,274.1,6.99,0.754
25.15,4.67,252.3,6.62,0.599
20.18,1.12,243.8,7.58,0.23
18.03,1.26,168.6,6.62,0.367
14.02,6.31,148.3,6.42,0.93
5.51,4.28,248.6,6.21,0.527
2.99,3.09,221.8,7.45,0.378
1.75,0.88,165.8,6.27,0.31
11.3,4.72,223.3,6.28,0.582
8.88,1.97,164.2,7.19,0.425
14.96,3.65,254.4,6.72,0.468
12.5,5.79,268.0,6.48,0.676
26.27,6.23,207.6,6.28,0.783
2.39,6.17,252.2,6.55,0.684
25.32,3.45,178.4,7.58,0.576
31.56,1.7,141.5,6.7,0.534
17.83,5.22,239.9,6.93,0.633
7.55,1.19,185.1,6.34,0.291
41.72,3.45,229.2,7.59,0.524
12.79,3.57,161.1,7.21,0.606
0.07,5.37,258.5,7.3,0.597
3.96,1.9,240.3,6.07,0.296
23.04,3.15,273.8,6.9,0.441
41.15,2.11,250.5,6.61,0.389
44.0,0.77,255.7,6.25,0.283
26.08,3.51,162.1,7.31,0.635
14.95,2.16,150.6,6.42,0.511
22.43,4.71,190.4,7.07,0.656
5.08,2.68,204.6,7.54,0.359
39.83,4.32,141.7,6.54,0.819
34.08,1.7,219.0,6.68,0.327
0.5,6.45,251.9,6.25,0.726
29.57,2.03,192.6,6.82,0.402
14.31,2.33,194.9,7.03,0.381
12.31,1.46,242.4,6.46,0.244
45.36,3.75,241.3,6.46,0.568
39.69,0.78,159.7,6.06,0.444
32.53,4.66,165.2,6.58,0.759
40.17,3.93,152.6,6.29,0.764
7.54,0.98,197.0,6.02,0.259
44.19,2.89,211.6,7.0,0.475
36.81,5.37,194.0,6.46,0.755
19.78,0.3,196.1,7.09,0.19
47.13,5.17,232.4,6.93,0.712
0.89,2.29,187.9,7.01,0.361
5.1,2.58,211.3,7.24,0.333
39.61,4.05,162.2,7.2,0.728
43.34,3.65,189.4,6.75,0.613
6.8,4.69,278.1,6.78,0.548
34.34,5.46,167.6,7.51,0.837
30.1,1.45,151.7,6.32,0.488
27.67,4.59,186.1,7.48,0.673
17.34,3.12,157.4,7.56,0.586
6.51,5.9,216.1,6.85,0.669
26.9,1.87,267.3,7.59,0.324
39.24,3.99,157.2,7.3,0.736
