day,dry_spell_days,soil_deep_pct,runtime_min,risk
0,16,37.48,87.49,0.99
1,11,61.68,67.29,0.78
2,14,60.94,27.55,0.66
3,4,53.6,29.75,0.339
4,18,20.01,22.48,0.99
5,38,84.87,94.42,0.99
6,9,23.69,77.91,0.99
7,16,73.37,73.81,0.983
8,8,71.18,33.31,0.492
9,14,50.61,74.67,0.921
10,36,83.76,67.67,0.99
11,27,60.79,66.39,0.99
12,22,72.92,78.26,0.99
13,16,64.29,58.0,0.896
14,8,47.51,72.5,0.709
15,34,29.83,28.82,0.99
16,33,41.87,42.8,0.99
17,16,58.57,44.85,0.823
18,8,56.67,57.65,0.627
19,36,33.79,28.14,0.99
20,23,26.78,47.72,0.99
21,40,81.9,44.34,0.99
22,27,80.51,15.59,0.99
23,9,51.37,69.94,0.729
24,28,60.82,25.26,0.99
25,26,67.33,32.86,0.99
26,22,31.6,82.85,0.99
27,23,52.86,66.52,0.99
28,38,33.92,53.2,0.99
29,39,20.85,70.25,0.99
30,2,42.08,72.4,0.551
31,21,30.2,28.01,0.99
32,35,25.52,30.72,0.99
33,4,46.75,61.39,0.514
34,34,64.58,92.6,0.99
35,21,61.22,55.71,0.99
36,8,84.86,22.09,0.429
37,19,78.75,58.9,0.99
38,4,80.87,55.33,0.481
39,2,18.38,39.78,0.708
40,31,55.5,56.22,0.99
41,30,32.94,29.2,0.99
42,2,43.2,71.28,0.528
43,10,67.47,33.44,0.559
44,13,35.32,60.8,0.949
45,22,69.79,61.14,0.99
46,27,31.66,41.12,0.99
47,2,39.23,50.24,0.468
48,4,68.8,61.78,0.517
49,0,61.77,37.43,0.248
50,28,50.21,58.03,0.99
51,21,22.11,55.83,0.99
52,8,27.94,16.37,0.641
53,23,73.17,30.12,0.974
54,19,58.42,36.15,0.874
55,22,26.59,41.97,0.99
56,28,57.21,60.41,0.99
57,27,20.92,56.41,0.99
58,8,82.83,16.08,0.396
59,10,77.82,57.27,0.692
60,8,78.46,86.25,0.786
61,9,24.01,89.35,0.99
62,4,41.11,78.55,0.665
63,13,21.15,31.74,0.99
64,15,52.83,88.4,0.99
65,28,31.07,44.63,0.99
66,3,74.26,86.5,0.621
67,7,59.09,90.23,0.775
68,23,53.75,36.86,0.99
69,34,37.96,19.21,0.99
70,3,80.42,25.86,0.284
71,0,25.18,71.44,0.72
72,5,84.98,79.15,0.646
73,27,28.76,93.27,0.99
74,18,79.53,15.39,0.726
75,6,38.67,94.68,0.856
76,30,44.14,24.52,0.99
