starts_per_hour,cavitation_score,pressure_rise_kpa,risk
9.07,62.46,160.0,0.833
3.42,1.03,107.5,0.411
5.66,76.98,164.3,0.831
11.22,53.03,159.0,0.836
3.47,41.81,69.2,0.9
16.4,5.59,187.4,0.64
2.27,65.26,100.7,0.897
7.88,80.03,43.3,0.99
2.03,86.93,131.6,0.915
2.55,93.78,210.4,0.856
2.91,40.2,64.3,0.891
6.31,59.04,69.4,0.99
12.85,4.88,70.8,0.921
14.87,38.05,115.4,0.99
11.13,45.29,109.2,0.99
1.52,69.0,214.1,0.631
17.6,63.04,104.1,0.99
7.17,65.56,161.3,0.793
2.94,22.32,105.4,0.568
9.69,76.96,130.0,0.99
1.48,78.14,117.4,0.894
9.82,21.11,116.9,0.736
7.6,73.33,58.5,0.99
10.35,16.91,165.3,0.525
1.63,26.27,102.0,0.57
11.83,4.95,122.7,0.652
4.55,26.78,125.7,0.564
17.3,45.7,212.1,0.978
3.85,87.8,105.6,0.99
4.22,71.11,204.2,0.738
1.11,25.48,178.7,0.283
6.81,22.95,41.6,0.99
1.68,58.81,217.1,0.558
17.97,47.84,44.3,0.99
6.48,74.8,189.8,0.841
11.87,21.8,134.9,0.727
9.12,59.57,87.3,0.99
17.09,84.96,69.2,0.99
5.95,82.95,90.1,0.99
17.05,48.94,165.3,0.99
12.98,20.34,91.3,0.951
5.33,64.91,164.9,0.727
3.24,84.21,115.7,0.99
5.1,41.35,216.3,0.538
10.52,59.35,205.6,0.857
17.35,72.24,115.2,0.99
11.0,85.59,182.1,0.99
10.86,33.01,106.3,0.91
13.51,53.52,43.1,0.99
13.07,85.86,183.6,0.99
16.26,86.5,136.3,0.99
14.41,36.05,57.7,0.99
7.0,29.65,208.1,0.511
12.71,51.45,152.0,0.906
3.12,50.75,166.1,0.544
7.7,23.35,113.2,0.699
6.5,65.1,65.5,0.99
2.54,29.69,165.2,0.363
13.91,62.64,208.2,0.99
7.22,2.83,127.8,0.459
8.54,17.04,160.1,0.466
6.8,22.64,98.9,0.729
17.04,0.73,104.9,0.874
5.75,19.13,117.8,0.581
4.75,87.29,130.2,0.99
12.87,15.42,123.6,0.763
11.31,80.07,85.0,0.99
8.81,81.21,189.7,0.968
4.87,51.11,177.0,0.605
7.72,63.97,159.4,0.802
17.53,52.62,162.5,0.99
6.95,69.56,98.0,0.99
9.5,34.28,95.3,0.924
3.31,21.44,138.0,0.425
5.28,4.36,184.6,0.26
5.86,88.93,147.8,0.985
7.61,82.94,201.5,0.942
6.46,11.95,155.4,0.378
15.33,57.81,181.2,0.99
8.01,58.69,87.4,0.99
7.92,36.07,109.2,0.822
7.79,76.68,70.6,0.99
4.49,24.19,214.8,0.386
9.89,5.03,190.4,0.418
15.85,78.01,104.6,0.99
13.49,29.02,64.7,0.99
15.71,79.14,78.0,0.99
15.96,2.34,95.5,0.893
1.22,16.25,69.4,0.627
13.17,28.18,74.2,0.99
4.13,29.64,195.2,0.416
11.32,9.72,163.3,0.502
10.12,42.6,135.0,0.829
12.08,76.07,131.0,0.99
11.8,44.39,154.1,0.812
7.6,39.41,133.0,0.729
13.16,26.46,206.5,0.692
9.36,81.27,164.3,0.987
17.26,64.83,116.8,0.99
7.9,57.73,175.7,0.757
15.26,12.28,51.2,0.99
2.84,8.0,50.2,0.705
1.14,23.7,60.4,0.723
12.65,58.5,213.8,0.922
17.33,70.94,210.9,0.99
1.48,21.65,206.7,0.266
9.08,19.63,176.2,0.504
8.2,51.59,96.9,0.99
5.11,8.28,149.2,0.333
17.2,93.74,177.7,0.99
16.87,34.41,93.7,0.99
16.7,57.01,160.4,0.99
1.21,21.71,126.8,0.408
13.43,78.45,176.3,0.99
6.77,36.25,195.2,0.555
17.82,46.07,75.1,0.99
11.62,50.91,105.1,0.99
4.92,36.61,150.2,0.54
3.16,51.39,211.4,0.551
13.66,23.95,115.3,0.893
2.74,70.02,153.7,0.709
3.94,52.07,147.3,0.64
10.81,35.95,95.8,0.979
7.03,94.77,99.5,0.99
9.54,43.69,71.1,0.99
7.8,19.47,98.0,0.742
7.24,33.24,208.8,0.547
6.05,31.58,158.4,0.502
7.75,49.0,156.6,0.701
2.25,63.8,58.2,0.99
5.25,76.93,218.1,0.817
12.45,16.3,118.9,0.777
5.8,79.91,82.0,0.99
4.34,60.62,154.7,0.685
