contamination,pump_failure,dry_well,treatment_integrity,action
0.956,0.021,0.731,0.165,lab_test
0.977,0.027,0.872,0.678,lab_test
0.85,0.99,0.245,0.341,pump_service
0.704,0.285,0.268,0.234,lab_test
0.851,0.867,0.792,0.229,pump_service
0.916,0.511,0.237,0.456,lab_test
0.421,0.087,0.563,0.363,lab_test
0.568,0.922,0.643,0.407,pump_service
0.856,0.985,0.49,0.936,pump_service
0.028,0.148,0.179,0.929,filter_change
0.687,0.715,0.291,0.495,pump_service
0.879,0.108,0.124,0.056,lab_test
0.469,0.834,0.554,0.403,pump_service
0.502,0.186,0.939,0.357,lab_test
0.241,0.315,0.818,0.322,pump_service
0.897,0.339,0.443,0.083,lab_test
0.899,0.79,0.475,0.123,lab_test
0.493,0.379,0.833,0.919,filter_change
0.736,0.291,0.051,0.886,filter_change
0.936,0.165,0.5,0.481,lab_test
0.967,0.052,0.07,0.837,lab_test
0.568,0.463,0.772,0.591,filter_change
0.689,0.261,0.093,0.019,lab_test
0.336,0.646,0.382,0.35,pump_service
0.616,0.701,0.594,0.316,pump_service
0.815,0.795,0.886,0.885,pump_service
0.025,0.666,0.351,0.391,pump_service
0.518,0.151,0.254,0.977,filter_change
0.334,0.905,0.681,0.319,pump_service
0.322,0.603,0.698,0.343,pump_service
0.068,0.179,0.853,0.724,filter_change
0.116,0.828,0.574,0.338,pump_service
0.886,0.136,0.106,0.347,lab_test
0.733,0.547,0.485,0.899,filter_change
0.396,0.782,0.014,0.777,pump_service
0.162,0.653,0.832,0.653,pump_service
0.577,0.549,0.746,0.371,pump_service
0.239,0.556,0.52,0.124,pump_service
0.529,0.468,0.163,0.703,filter_change
0.773,0.342,0.858,0.978,filter_change
0.659,0.41,0.277,0.137,lab_test
0.278,0.989,0.069,0.908,pump_service
0.693,0.778,0.107,0.643,pump_service
0.211,0.673,0.788,0.717,pump_service
0.535,0.877,0.235,0.164,pump_service
0.858,0.065,0.42,0.421,lab_test
0.87,0.375,0.568,0.501,lab_test
0.479,0.474,0.469,0.594,filter_change
0.434,0.425,0.916,0.967,filter_change
0.252,0.938,0.033,0.336,pump_service
0.891,0.176,0.666,0.984,filter_change
0.61,0.46,0.04,0.452,lab_test
0.465,0.783,0.393,0.8,filter_change
0.407,0.633,0.754,0.173,pump_service
0.944,0.451,0.48,0.963,filter_change
0.57,0.519,0.219,0.226,lab_test
0.755,0.506,0.655,0.692,lab_test
0.679,0.327,0.856,0.451,lab_test
0.182,0.86,0.893,0.128,pump_service
0.877,0.685,0.275,0.574,lab_test
0.914,0.159,0.657,0.246,lab_test
0.156,0.941,0.985,0.652,pump_service
0.787,0.397,0.43,0.613,lab_test
0.808,0.697,0.47,0.625,lab_test
0.405,0.804,0.862,0.768,pump_service
0.325,0.383,0.97,0.381,pump_service
0.661,0.105,0.139,0.231,lab_test
0.669,0.233,0.654,0.081,lab_test
0.688,0.698,0.261,0.244,pump_service
0.256,0.494,0.191,0.24,pump_service
0.798,0.928,0.168,0.519,pump_service
0.656,0.94,0.558,0.531,pump_service
0.766,0.783,0.708,0.62,pump_service
0.805,0.051,0.762,0.228,lab_test
0.356,0.396,0.52,0.588,filter_change
0.585,0.32,0.364,0.653,filter_change
0.923,0.384,0.018,0.847,lab_test
0.879,0.834,0.633,0.419,pump_service
0.074,0.912,0.438,0.13,pump_service
0.622,0.053,0.391,0.601,lab_test
0.797,0.362,0.202,0.347,lab_test
0.814,0.099,0.146,0.351,lab_test
0.943,0.876,0.958,0.057,pump_service
0.501,0.152,0.584,0.787,filter_change
0.482,0.686,0.678,0.507,pump_service
0.392,0.245,0.716,0.972,filter_change
0.959,0.916,0.841,0.653,pump_service
0.496,0.128,0.793,0.19,lab_test
0.922,0.85,0.288,0.898,lab_test
0.751,0.806,0.116,0.276,pump_service
0.162,0.933,0.249,0.445,pump_service
0.747,0.399,0.629,0.622,lab_test
0.382,0.919,0.665,0.735,pump_service
0.727,0.617,0.176,0.906,filter_change
0.934,0.11,0.371,0.193,lab_test
0.139,0.578,0.435,0.141,pump_service
0.482,0.692,0.143,0.643,pump_service
0.656,0.826,0.989,0.873,pump_service
0.376,0.091,0.337,0.176,lab_test
0.846,0.369,0.559,0.722,lab_test
0.461,0.988,0.656,0.595,pump_service
0.173,0.245,0.685,0.441,filter_change
0.578,0.872,0.673,0.831,pump_service
0.37,0.076,0.282,0.897,filter_change
0.245,0.13,0.077,0.99,filter_change
0.215,0.085,0.361,0.052,lab_test
0.726,0.685,0.424,0.721,lab_test
0.028,0.791,0.639,0.748,pump_service
0.15,0.943,0.976,0.48,pump_service
0.323,0.516,0.705,0.462,pump_service
0.543,0.944,0.704,0.39,pump_service
0.901,0.782,0.031,0.494,lab_test
0.305,0.309,0.372,0.829,filter_change
