uv_lux,filter_days_remaining,cabinet_openings,risk
206.5,89,8,0.582
881.7,34,4,0.08
355.7,9,7,0.539
365.4,87,6,0.312
439.0,116,1,0.136
333.4,111,5,0.349
410.0,33,5,0.231
771.5,80,8,0.13
241.3,70,4,0.478
253.6,83,1,0.422
219.7,43,0,0.461
187.4,26,6,0.586
447.0,119,7,0.199
846.1,12,1,0.193
588.8,81,5,0.092
266.8,12,7,0.626
536.2,24,4,0.08
486.6,27,7,0.138
766.6,64,4,0.08
203.0,104,1,0.499
345.7,15,0,0.367
251.0,52,1,0.426
675.8,75,1,0.042
464.4,87,2,0.11
553.2,58,4,0.08
512.7,55,6,0.105
602.3,12,4,0.23
504.4,30,7,0.117
821.0,120,7,0.117
173.8,18,7,0.669
689.8,73,7,0.117
135.5,90,6,0.666
884.6,54,0,0.03
401.5,72,5,0.244
880.7,33,5,0.092
364.9,24,0,0.238
629.0,60,4,0.08
197.2,12,0,0.646
275.8,3,0,0.675
594.7,36,8,0.13
878.3,45,4,0.08
212.2,18,3,0.56
121.4,32,8,0.712
334.3,31,3,0.322
609.2,117,5,0.092
356.0,97,5,0.314
145.5,117,2,0.6
531.6,107,3,0.068
416.8,49,3,0.195
897.6,69,8,0.13
746.5,40,7,0.117
861.4,78,0,0.03
320.3,119,6,0.381
499.8,43,1,0.043
332.8,13,2,0.446
282.5,88,2,0.39
291.4,62,7,0.438
221.8,114,6,0.533
161.1,13,4,0.735
690.2,69,6,0.105
459.1,56,3,0.13
193.0,103,2,0.527
238.7,85,3,0.47
914.9,110,5,0.092
925.7,76,8,0.13
689.6,73,6,0.105
499.4,60,5,0.093
876.0,110,5,0.092
170.1,87,8,0.638
786.8,117,1,0.042
465.3,14,0,0.2
791.4,119,2,0.055
175.2,101,4,0.58
156.3,48,2,0.584
123.9,57,7,0.696
755.3,63,8,0.13
136.1,10,4,0.823
321.0,87,8,0.405
120.5,101,3,0.651
707.2,0,5,0.443
849.8,109,1,0.042
442.2,57,4,0.169
400.1,119,5,0.246
143.7,17,4,0.695
894.7,103,4,0.08
904.0,67,7,0.117
140.7,82,1,0.595
929.3,43,6,0.105
763.4,54,4,0.08
671.3,53,3,0.068
753.5,48,7,0.117
318.0,104,8,0.41
909.0,97,3,0.068
790.4,24,4,0.08
808.4,9,3,0.268
761.0,58,8,0.13
160.7,24,4,0.602
747.4,54,7,0.117
302.2,95,1,0.347
626.3,90,2,0.055
701.6,58,3,0.068
431.5,77,5,0.198
503.1,96,5,0.092
390.5,68,4,0.248
160.4,78,7,0.64
227.8,109,4,0.499
505.1,39,8,0.13
158.6,7,8,0.889
144.7,39,7,0.664
415.7,37,5,0.222
663.4,94,2,0.055
226.4,3,3,0.788
530.8,8,2,0.272
829.5,29,4,0.08
807.6,75,7,0.117
786.9,103,5,0.092
263.8,31,8,0.493
634.3,42,8,0.13
929.2,55,1,0.042
132.3,39,4,0.646
259.2,25,3,0.438
212.6,108,3,0.51
875.3,36,7,0.117
210.8,99,1,0.487
475.1,98,1,0.081
690.9,69,3,0.068
168.0,69,3,0.578
559.3,96,6,0.105
277.8,10,2,0.58
414.5,80,7,0.249
792.6,10,1,0.226
826.3,74,3,0.068
303.0,13,2,0.491
503.1,60,5,0.092
432.6,8,5,0.413
218.8,64,5,0.525
806.9,21,7,0.117
512.0,91,1,0.042
632.4,5,8,0.397
485.6,1,0,0.385
553.4,25,3,0.068
557.5,45,8,0.13
689.2,119,2,0.055
862.0,54,0,0.03
264.5,8,6,0.684
627.9,61,3,0.068
572.0,112,6,0.105
244.1,120,8,0.524
558.7,89,6,0.105
363.8,31,4,0.29
295.4,89,1,0.357
326.1,65,0,0.298
285.7,27,6,0.435
324.9,29,3,0.337
128.3,94,4,0.652
148.0,35,8,0.672
315.2,42,2,0.339
306.1,103,4,0.378
781.4,0,8,0.48
806.1,53,8,0.13
341.6,62,7,0.361
741.3,95,0,0.03
520.7,19,7,0.151
290.1,93,4,0.403
913.8,119,3,0.068
528.6,116,4,0.08
867.0,63,6,0.105
143.1,68,5,0.642
920.2,40,4,0.08
558.3,107,8,0.13
176.2,83,0,0.528
919.0,8,3,0.284
250.5,24,7,0.501
323.6,63,6,0.376
736.5,0,6,0.455
582.2,109,1,0.042
352.4,65,3,0.295
741.0,94,8,0.13
509.8,102,6,0.105
698.5,58,5,0.092
