Component,Part Number,Quantity,Unit Price USD,Total Price USD,Notes,Reference
nRF5340-QKAA-AB0,nRF5340,1,5.80,5.80,Dual Cortex-M33 BLE 5.0,U1
ESP32-C6-MINI-1,ESP32-C6-MINI-1,1,3.20,3.20,WiFi 6 + BLE module,U2
SX1262IMLTRT,SX1262,1,3.50,3.50,Sub-GHz radio 868MHz,U3
Sensirion SPS30,SPS30,1,12.00,12.00,Particulate sensor PM1-10,U4
Sensirion SCD41,SCD41,1,8.50,8.50,Photoacoustic CO2 sensor,U5
Bosch BME688,BME688,1,3.80,3.80,Environment + IAQ sensor,U6
Sensirion SGP41,SGP41,1,4.20,4.20,VOC + NOx sensor,U7
Sensirion SFA30,SFA30,1,5.50,5.50,Formaldehyde sensor,U8
ILI9341 TFT 3.2",ILI9341,1,6.00,6.00,320x240 IPS display,U9
MAX98357A,MAX98357A,1,1.80,1.80,I2S speaker amplifier,U10
SPH0645LM4H,SPH0645LM4H,1,3.50,3.50,I2S MEMS microphone,U11
W25Q128,W25Q128,1,1.50,1.50,16MB flash,U12
AP2112-3.3,AP2112-3.3,3,0.40,1.20,3.3V LDO regulator,U13
AP6212-1.8,AP6212-1.8,1,0.60,0.60,1.8V LDO regulator,U14
MCP73831,MCP73831,1,0.80,0.80,Lipo charger IC,U15
Lipo 3000mAh,LIPO-3000,1,6.00,6.00,3.7V rechargeable battery,BAT1
USB-C connector,USB-C-F,1,0.50,0.50,5V power + data,CON1
SMA antenna connector,SMA-EDGE,1,0.80,0.80,Sub-GHz antenna,ANT1
30mm tactile button,BTN-30MM,1,0.30,0.30,Emergency alert button,SW1
RGB LED 5050,LED-RGB-5050,1,0.10,0.10,Status indicator,LED1
LED 0805,LED-0805,4,0.05,0.20,Zone indicator LEDs,LED2-5
Piezo buzzer 3V,BUZ-3V,1,0.50,0.50,Alarm buzzer,BUZ1
3W 40mm speaker,SPK-3W-40,1,2.00,2.00,Voice alerts,SPK1
4-layer PCB,PCB-100x80,1,3.00,3.00,100x80mm FR4,PCB
ABS enclosure,ENC-130x90x25,1,2.50,2.50,Injection molded,ENC
Passives/connectors,MISC-HUB,1,3.00,3.00,R/C/headers,MISC
,,TOTAL,,89.10,
