Component,Part Number,Quantity,Unit Price USD,Total Price USD,Notes,Reference
ESP32-S3-WROOM-1-N8R8,ESP32-S3,1,4.50,4.50,Dual-core WiFi 8MB PSRAM,U1
CC2652R7,CC2652R7,1,4.80,4.80,Zigbee 3.0 coordinator,U2
SX1261IMLTRT,SX1261,1,2.80,2.80,Sub-GHz radio 868MHz,U3
Bosch BMP390,BMP390,1,2.50,2.50,Duct static pressure sensor,U4
Bosch BME688,BME688,1,3.80,3.80,Ambient environment sensor,U5
HLK-PM01,HLK-PM01,1,3.00,3.00,5V AC-DC 24VAC input,U6
OMRON G5LE-14 5V,G5LE-14,4,1.20,4.80,Dry contact relay SPDT,RL1-4
FS1000A,FS1000A,1,0.50,0.50,433MHz ASK transmitter,TX1
SCT013-030,SCT013-030,1,8.00,8.00,30A non-invasive current sensor,CT1
DS18B20 waterproof,DS18B20-WP,1,2.00,2.00,Supply air temperature probe,TH1
AP2112-3.3,AP2112-3.3,2,0.40,0.80,3.3V LDO regulator,U7
USB-C connector,USB-C-F,1,0.50,0.50,Setup + backup power,CON1
Screw terminals 5-pin,SCREW-5P,4,0.80,3.20,24VAC + relay outputs,CON2-5
SMA antenna connector,SMA-EDGE,1,0.80,0.80,Sub-GHz antenna,ANT1
Wire antenna 433MHz,ANT-433,1,0.10,0.10,433MHz wire antenna,ANT2
RGB LED 5050,LED-RGB-5050,1,0.10,0.10,Status indicator,LED1
Piezo buzzer 3V,BUZ-3V,1,0.30,0.30,Status beep,BUZ1
6mm tactile button,BTN-6MM,1,0.10,0.10,Setup/pairing,SW1
4-layer PCB,PCB-100x70,1,3.50,3.50,100x70mm FR4,PCB
DIN rail enclosure,ENC-DIN,1,3.00,3.00,DIN rail mount 3 modules,ENC
Passives/connectors,MISC-HVAC,1,2.00,2.00,R/C/headers/drivers,MISC
,,TOTAL,,54.80,
