# Part,Package,Qty,Unit Price,Total,Notes
nRF52840,QFN-73,1,$4.00,$4.00,MCU + BLE (ample GPIO, DSP capability)
SX1261,QFN-24,1,$3.50,$3.50,Sub-GHz LoRa radio
HX711,SOP-16,2,$0.80,$1.60,24-bit ADC for load cells
5kg load cell,Aluminum,2,$2.50,$5.00,Precision weight measurement (2g resolution)
DS18B20,TO-92 waterproof,1,$2.00,$2.00,Waterproof temperature probe
15W PTC heater,Disc,1,$1.50,$1.50,Bottle warming element
IRLZ44N MOSFET,TO-220,1,$0.60,$0.60,Heater MOSFET driver
1.3" OLED (SH1106),Module,1,$2.50,$2.50,128×64 display
SG90 servo,Micro,1,$1.50,$1.50,Formula powder dispenser
VCSEL 850nm,SMD,1,$0.80,$0.80,Milk turbidity LED
Photodiode (BPW34),SMD,1,$0.30,$0.30,Turbidity receiver
MCP73831,SOT-23-5,1,$0.40,$0.40,LiPo charger
AP2112-3.3,SOT-223,1,$0.30,$0.30,3.3V regulator
Lipo 2000mAh,Custom,1,$4.00,$4.00,Battery (backup for warming)
USB-C receptacle,16-pin SMD,1,$0.35,$0.35,Power/data
868MHz chip antenna,IC-215,1,$0.80,$0.80,Sub-GHz antenna
Tactile button,6x6mm,3,$0.05,$0.15,Start/Dispense/Mode buttons
Piezo buzzer,12mm SMD,1,$0.40,$0.40,Done alert buzzer
Passives (R/C/L/inductors),0402,~40,$1.00,$1.00,Decoupling/bias/filter
PCB 4-layer,80x60mm,1,$2.50,$2.50,Custom PCB
,,Total,,$33.85,
