# Part,Package,Qty,Unit Price,Total,Notes
RP2040,QFN-56 7x7,1,$1.20,$1.20,Main MCU (Core 0: mesh + safety, Core 1: ESP bridge)
ESP32-C6-MINI-1,Module,1,$3.20,$3.20,WiFi 6 + BLE 5.0 bridge
SX1262,QFN-24,1,$4.50,$4.50,Sub-GHz LoRa radio (1W for hub)
2.8" IPS TFT (ILI9341),Module,1,$6.80,$6.80,Status display
32MB W25Q256,SOIC-8,1,$1.80,$1.80,Flash storage for sounds + data
SD card slot,Micro push-push,1,$0.50,$0.50,Data logging + sound library
PCM5102A,TSSOP-20,1,$2.80,$2.80,I2S DAC for speaker
SPH0645 I2S MEMS,Mic module,1,$1.50,$1.50,Hub local mic for sound level
3W Class-D amp (PAM8302),SOT-23-6,1,$0.60,$0.60,Speaker amplifier
3W 4Ω speaker,40mm round,1,$1.50,$1.50,Lullaby/white noise/alarms
MCP73831,SOT-23-5,1,$0.40,$0.40,LiPo charger
AP2112-3.3,SOT-223,1,$0.30,$0.30,3.3V regulator
AP6212-1.8,SOT-23-5,1,$0.35,$0.35,1.8V regulator
Lipo 3000mAh,Custom flat,1,$6.00,$6.00,Battery backup (6+ hours)
USB-C receptacle,16-pin SMD,1,$0.35,$0.35,Power/data
SMA connector,Edge-mount,1,$0.80,$0.80,Antenna connector
Antenna 868MHz,Wire/PCB,1,$1.50,$1.50,Sub-GHz antenna
SHT40,I2C temp/humidity,1,$1.20,$1.20,Hub ambient monitoring
Piezo buzzer,12mm SMD,1,$0.40,$0.40,Alert buzzer
Passives (R/C/L/inductors),0402,~80,$2.00,$2.00,Decoupling/bias/filter
PCB 4-layer,120x80mm,1,$3.50,$3.50,Custom PCB
,,Total,,$43.75,
