# Part,Package,Qty,Unit Price,Total,Notes
ESP32-S3-WROOM-1,Module,1,$4.50,$4.50,Dual-core MCU + WiFi + BLE
SX1261,QFN-24,1,$3.50,$3.50,Sub-GHz LoRa radio
OV5640,Camera module,1,$3.50,$3.50,5MP camera (with IR cut filter)
940nm IR LED,5mm,4,$0.15,$0.60,Invisible night vision illumination
SFH309FA phototransistor,3mm,1,$0.40,$0.40,Ambient light + IR level sensing
SPH0645 I2S MEMS,Mic module,2,$1.50,$3.00,Dual microphone array for beamforming
SHT40,I2C temp/humidity,1,$1.20,$1.20,Room temperature + humidity
SCD30,Module,1,$8.00,$8.00,CO2 NDIR sensor (400-10000 ppm)
SGP40,DFN-6,1,$2.20,$2.20,VOC index sensor
VEML7700,DFN-6,1,$1.50,$1.50,Ambient light sensor (0-120000 lux)
IR cut filter driver,MOSFET+relay,1,$0.80,$0.80,IR cut filter actuator
MCP73831,SOT-23-5,1,$0.40,$0.40,LiPo charger
AP2112-3.3,SOT-223,1,$0.30,$0.30,3.3V regulator
Lipo 1200mAh,Custom flat,1,$3.50,$3.50,Battery backup (7+ hours continuous)
USB-C receptacle,16-pin SMD,1,$0.35,$0.35,Power/data
868MHz chip antenna,IC-215,1,$0.80,$0.80,Sub-GHz antenna
2.4GHz PCB antenna,Trace,1,$0.00,$0.00,WiFi/BLE antenna (on PCB)
Passives (R/C/L/inductors),0402,~60,$1.50,$1.50,Decoupling/bias/filter
PCB 4-layer,60x50mm,1,$2.50,$2.50,Custom PCB (wall mount)
,,Total,,$40.55,
