Component,Part,Qty,Unit_Price,Total,Supplier,Part_Number,Notes
MCU,STM32G070CB,1,2.30,2.30,ST,STM32G070CBU6,Arm Cortex-M0+ @ 64MHz
BLE Module,nRF52810,1,2.80,2.80,Nordic,nRF52810-QAAH,BLE5.0 sub-module
Motor Driver,DRV8871,2,1.90,3.80,TI,DRV8871DDAR,H-bridge 3.6A
LED Strip,WS2812B 60/m,1,4.50,4.50,WS,WS2812B,1m 60LED strip
LED Driver,LP5562,1,0.95,0.95,TI,LP5562RM,RGBW LED driver
Servo Driver,PCA9685,1,1.20,1.20,ADI,PCA9685PW,16-ch PWM servo driver
Servo,SG90 + 3D mount,1,2.50,2.50,Various,SG90,Micro servo for monitor tilt
Current Sense,INA219,1,1.50,1.50,TI,INA219BIDR,Shunt current sensor
Hall Sensors,A3144,2,0.30,0.60,Allegro,A3144EUA-T,Position feedback
Buck Converter,LM2596 5V 3A,1,1.20,1.20,Various,LM2596-5.0,5V 3A step-down
LDO,TLV1117-33,1,0.30,0.30,TI,TLV1117-33CDCYR,3.3V LDO
Endstops,Mechanical switch,2,0.20,0.40,Various,KS-01-07-003,Travel limit switches
Buttons,6x6mm tactile,2,0.05,0.10,Various,PTS645SH50SMTR,Up/Down manual buttons
Linear Actuator,PA-14-150-12V,1,18.00,18.00,Progressive,PA-14-150-12V,150mm stroke 12V
Power Supply,12V 5A brick,1,6.00,6.00,Various,SMPS-12V-5A,Desktop power supply
PCB,4-layer 80x60mm,1,3.00,3.00,Various,,FR4 ENIG
Antenna,2.4GHz chip antenna,1,0.40,0.40,Johanson,2450AT18A100,Ceramic chip antenna
Passives,R/C/L assort,1,2.00,2.00,Various,,0402/0603 passives
Enclosure,3D printed PLA,1,3.00,3.00,Various,,Custom desk-mount enclosure
Total,,,,54.55,,
