Component,Part,Qty,Unit_Price,Total,Supplier,Part_Number,Notes
MCU,nRF5340,1,5.20,5.20,Nordic,nRF5340-DK,Primary MCU with BLE5.2 + DSP
WiFi Co-MCU,ESP32-C6-MINI-1,1,2.50,2.50,Espressif,ESP32-C6-MINI-1,WiFi6 + BLE5 uplink
mmWave Radar,BGT60TR13C,1,8.90,Infineon,BGT60TR13CE6327,60GHz FMCW radar
Ambient Light,TSL2591,1,2.80,2.80,AMS,TSL25911FN,Lux + IR sensor
Temp/Humidity,SHT40-AD1B,1,1.90,1.90,Sensirion,SHT40-AD1B-R02,±0.2°C ±1.8%RH
LED Driver,LP5562,1,0.95,0.95,TI,LP5562RM,NRND,RGBW LED driver
MEMS Mic,SPH0645LM4H,1,2.40,2.40,Knowles,SPH0645LM4H-B,I2S digital microphone
Audio Amp,MAX98357A,1,1.20,1.20,ADI,MAX98357AETE+,Class D I2S amplifier
OLED Display,SH1106 1.3",1,3.50,3.50,Various,SH1106-1P3,128x64 OLED I2C
Haptic Driver,DRV2605L,1,1.10,1.10,TI,DRV2605L,ERM/LRA haptic driver
QSPI Flash,W25Q128JVSIQ,1,0.80,0.80,Winbond,W25Q128JVSIQ,16MB QSPI NOR
SD Card Slot,DM3AT-SF-PEJ,1,0.30,0.30,Hirose,DM3AT-SF-PEJ,MicroSD push-push
LiPo Battery,2000mAh 3.7V,1,4.50,4.50,Various,LIPO-2000-37,503450 form factor
Charger IC,BQ24072,1,1.10,1.10,TI,BQ24072RQGT,1A USB LiPo charger
LDO,TLV1117-33,2,0.30,0.60,TI,TLV1117-33CDCYR,3.3V 800mA LDO
USB-C Receptacle,USB4085,1,0.40,0.40,GCT,USB4085-GF-030,USB 2.0 Type-C
Tactile Buttons,6x6mm tactile,4,0.05,0.20,Various,PTS645SH50SMTR,Push buttons
StemmaQT,QT connector 4-pin,2,0.50,1.00,JST,SM04B-SRSS,StemmaQT I2C
PCB,4-layer 80x50mm,1,2.50,2.50,Various,,FR4 ENIG
Antenna,2.4GHz chip antenna,1,0.40,0.40,Johanson,2450AT18A100,2.4GHz ceramic chip
Passives,R/C/L assort,1,1.50,1.50,Various,,0402/0603 passives
Enclosure,3D printed PLA,1,3.00,3.00,Various,,Custom designed
Total,,,,46.65,,
