# FlowGuard Hub Node BOM
Item,Part,Package,Qty,Unit_Price_USD,Total_Price_USD,Supplier,Part_Number,Notes
1,nRF52840,aQFN-73 7x7,1,4.80,4.80,Mouser,947-NRF52840-QDABR,Zigbee coordinator + BLE
2,ESP32-C6-MINI-1,Module,1,3.20,3.20,DigiKey,1965-ESP32-C6-MINI-1,WiFi6/BLE bridge
3,2.4" IPS TFT (ILI9341),Module,1,5.50,5.50,AliExpress,ILI9341-240,320x240 SPI display
4,16MB W25Q128,SOIC-8,1,1.20,1.20,Mouser,947-W25Q128JVS,External flash
5,microSD card slot,Push-push,1,0.50,0.50,DigiKey,WM17155-ND,Data logging
6,SPH0645LM4H,MEMS mic module,1,2.80,2.80,DigiKey,1650-SPH0645LM4H-B,I2S acoustic mic
7,MCP73831,SOT-23-5,1,0.40,0.40,Mouser,771-MCP73831T-2ACI-OT,Battery charger
8,AP2112-3.3,SOT-223,1,0.30,0.30,Mouser,511-AP2112K-3.3,3.3V LDO
9,AP6212-1.8,SOT-23-5,1,0.35,0.35,DigiKey,AP6212-1.8TR,1.8V LDO for ESP32
10,18650 Lipo 2600mAh,Cylindrical,1,4.00,4.00,AliExpress,18650-2600,Battery backup
11,USB-C receptacle,16-pin SMD,1,0.35,0.35,DigiKey,UCS0404X-ND,Power + programming
12,SMA connector,Edge-mount,1,0.80,0.80,Mouser,732-5200154-1,Zigbee antenna
13,Antenna 2.4GHz,PCB trace,1,0.00,0.00,N/A,N/A,On-board PCB antenna
14,Piezo buzzer,12mm SMD,1,0.40,0.40,Mouser,690-PS1240P02BT,Local alarm
15,Push button,6mm tactile,1,0.10,0.10,DigiKey,CKN9104-ND,User button
16,Passives (R/C/L/inductors),0402,~50,1.20,1.20,DigiKey,Various,Decoupling+matching
17,PCB 4-layer,110x70mm,1,2.50,2.50,JLCPCB,Custom,4-layer ENIG
,,Subtotal,,$28.20,28.20,
