# FlowGuard Valve Controller BOM
Item,Part,Package,Qty,Unit_Price_USD,Total_Price_USD,Supplier,Part_Number,Notes
1,nRF52832,QFN-48 6x6,1,3.20,3.20,Mouser,947-NRF52832-QDAA,Zigbee router + valve control
2,Motorized ball valve 1" NPT,Brass body,1,18.00,18.00,AliExpress,BV-1-NPT,12V DC spring-return
3,DRV8871,VQFN-8,1,1.50,1.50,Mouser,595-DRV8871DDAR,H-bridge motor driver
4,MPX5700DP,Pressure sensor,1,8.50,8.50,DigiKey,MPX5700DP-ND,0-700kPa absolute
5,YF-S201,Flow meter,1,3.50,3.50,AliExpress,YF-S201,Hall-effect 1-30L/min
6,XGZP6847A,Diff pressure,1,4.00,4.00,DigiKey,XGZP6847A,Fixture pressure sensor
7,DS18B20 waterproof,Probe,2,2.50,5.00,DigiKey,DS18B20-Waterproof,Pipe+heat trace temp
8,Self-regulating heat trace,5W/ft 3ft,1,6.00,6.00,AliExpress,HeatTrace-5W,Freeze protection
9,N-MOSFET (IRLML6344),SOT-23,2,0.30,0.60,Mouser,732-IRLML6344TRPBF,Heater+valve driver
10,LM2596-5V,TO-263,1,1.50,1.50,DigiKey,LM2596-5.0,Step-down 12V→5V
11,AP2112-3.3,SOT-223,1,0.30,0.30,Mouser,511-AP2112K-3.3,3.3V LDO
12,18650 Lipo 2600mAh,Cylindrical,1,4.00,4.00,AliExpress,18650-2600,Backup battery
13,12V 2A DC adapter,Desktop,1,5.00,5.00,DigiKey,237-1579-ND,Main power supply
14,DC barrel jack,5.5x2.1mm,1,0.30,0.30,DigiKey,CP-063BH-ND,12V input
15,Push buttons (x2),6mm tactile,2,0.10,0.20,DigiKey,CKN9104-ND,Open/Close override
16,RGB LED,5050 SMD,1,0.15,0.15,Mouser,604-APTIC2024,Status indicator
17,Piezo buzzer,12mm SMD,1,0.40,0.40,Mouser,690-PS1240P02BT,Local alarm
18,Antenna 2.4GHz,PCB trace,1,0.00,0.00,N/A,N/A,On-board PCB antenna
19,Passives (R/C/L/inductors),0402,~40,1.00,1.00,DigiKey,Various,Decoupling+matching
20,PCB 4-layer,130x80mm,1,3.00,3.00,JLCPCB,Custom,4-layer ENIG
21,Cable glands (x3),PG9 IP54,3,0.50,1.50,AliExpress,PG9-Gland,Waterproof cable exits
,,Subtotal,,$70.65,70.65
