# Part,Package,Qty,Unit Price,Total,Notes
STM32F411CE,UFQFPN-48,1,$3.50,$3.50,Main MCU (fast, deterministic for fire safety)
SX1261,QFN-24,1,$3.80,$3.80,Sub-GHz radio
MLX90640 thermal camera,Module 32x24,1,$28.00,$28.00,Non-contact thermal array
MQ-2 gas sensor (LPG),Module,1,$1.50,$1.50,Propane/butane detection
MQ-135 gas sensor (CO),Module,1,$1.80,$1.80,Carbon monoxide detection
MQ-137 gas sensor (NH3),Module,1,$2.00,$2.00,Ammonia detection
RE46C190 smoke detector IC,DIP-8,1,$1.20,$1.20,Photoelectric smoke detection
VS1838B IR receiver (modified),Module,1,$0.80,$0.80,4.3um flame IR detection
DS18B20 temp probe,TO-92,2,$1.50,$3.00,Ambient + stovetop temp
Solenoid gas valve (24V NC 1/2" NPT),Industrial,1,$18.00,$18.00,Auto gas shutoff (failsafe NC)
Micro-pump (6V DC),Module,1,$4.00,$4.00,Fire suppression pump
Potassium bicarbonate cartridge,100g,1,$3.00,$3.00,Food-safe fire suppressant
105dB piezo siren,Module,1,$2.50,$2.50,Audible fire alarm
IRLZ44N MOSFET,TO-220,2,$0.60,$1.20,Valve + pump driver
LM2596-5V buck,TO-263,1,$1.50,$1.50,5V power supply
AP2112-3.3,SOT-223,1,$0.30,$0.30,3.3V MCU regulator
5F 5.4V supercapacitor,Through-hole,1,$3.50,$3.50,Backup power for valve close
24V 1A power supply,DIN-rail,1,$6.00,$6.00,Mains power supply
Antenna 868MHz,Wire/PCB,1,$1.50,$1.50,Sub-GHz antenna
Status LED RGB,0806,1,$0.20,$0.20,System status indicator
Passives,0402,~40,$1.00,$1.00,Decoupling/bias
PCB 4-layer,80x80mm,1,$3.00,$3.00,Custom PCB
Fire-rated ABS enclosure,Injection molded,1,$5.00,$5.00,Fire-rated enclosure
Suppression nozzle + tubing,Custom,1,$3.00,$3.00,Targeted suppression delivery
,,Total,,$104.60,
