RefDes,Part,Manufacturer,MPN,Qty,UnitCost(USD),ExtCost(USD),Notes
U1,MCU ESP32-S3,Espressif,ESP32-S3-WROOM-1-N16R8,1,3.50,3.50,16MB Flash 8MB PSRAM
U2,Camera OV5640,Omnivision,OV5640-AF,1,6.50,6.50,5MP autofocus DVP
U3,OLED SH1106 1.3",Solomon,SSD1306-12864,1,2.50,2.50,128x64 SPI OLED
U4,Charger TP4056,Nanjing,TP4056,1,0.30,0.30,LiPo charge via USB-C
U5,LDO 3.3V RT9013,Richtek,RT9013-33GB,1,0.40,0.40,
LED1-6,White LED 5500K,Lumileds,LUXEON 3014,6,0.15,0.90,Visible illumination
LED7-9,UV LED 365nm,Luminus,UV3535-365,3,0.80,2.40,UV fluorescence
LED10-12,NIR LED 850nm,Epistar,IR85-3535,3,0.50,1.50,NIR stress imaging
Q1-3,MOSFET AO3400,AOS,AO3400A,3,0.10,0.30,LED drivers
BAT1,18650 2600mAh,Samsung,INR18650-26J,1,3.50,3.50,3.7V Li-ion
J1,USB-C 16-pin,Amphenol,12401598E412A,1,0.80,0.80,
J2,MicroSD socket,Amphenol,114-00841-68,1,0.90,0.90,Image archive
SW1-3,Tactile switch,C&K,PTS636SK50SMR,3,0.15,0.45,Capture/Mode/ID buttons
MISC,Passives+PCB+enclosure,-,-,1,4.20,4.20,R,C,connectors,PCB,case
,,Total Qty1,,37.95,37.95,
,,Total Qty10k,,,21.80,21.80,volume pricing
