# Part,Package,Qty,Unit_Price,Total_Price,Reference
nRF52840,aQFN-73 7x7,1,4.80,4.80,U1
ESP32-S3-MINI-1,Module,1,3.50,3.50,U2
ILI9488 TFT 3.5inch,Module,1,8.50,8.50,U3
W25Q128 16MB Flash,SOIC-8,1,1.20,1.20,U4
microSD card slot,Push-push,1,0.50,0.50,J1
PCM5102A,TSSOP-20,1,2.20,2.20,U5
SPH0645LM4H,MEMS mic module,1,2.80,2.80,U6
PN532,NFC module,1,3.50,3.50,U7
DS3231,SOIC-16,1,1.80,1.80,U8
MCP73831,SOT-23-5,1,0.40,0.40,U9
AP2112-3.3,SOT-223,1,0.30,0.30,U10
AP6212-1.8,SOT-23-5,1,0.35,0.35,U11
18650 Lipo 2600mAh,Cylindrical,1,4.00,4.00,BAT1
USB-C receptacle,16-pin SMD,1,0.35,0.35,J2
WS2812B LED ring 16x,5050 SMD,1,2.50,2.50,D1
Speaker 3W,25mm round,1,1.50,1.50,SPK1
Push button 6mm,6mm tactile,1,0.10,0.10,SW1
SMA connector,Edge-mount,1,0.80,0.80,J3
PCB trace antenna,2.4GHz,1,0.00,0.00,ANT1
CR1220 coin cell,12mm,1,0.30,0.30,BAT2
CR1220 holder,SMD,1,0.20,0.20,BH2
Passives R/C/L,0402,~60,1.50,1.50,MISC
PCB 4-layer,120x80mm,1,3.00,3.00,PCB1
