# Part,Package,Qty,Unit_Price,Total_Price,Reference
STM32F407VGT6,LQFP-100,1,6.50,6.50,U1
nRF52832,QFN-48 6x6,1,3.20,3.20,U2
28BYJ-48 stepper motor,Module,8,1.20,9.60,M1-M8
A4988 stepper driver,Module,8,1.50,12.00,DRV1-DRV8
HX711 load cell amp,SOIC-16,8,0.80,6.40,U3-U10
5kg load cell,Bar,8,2.50,20.00,LC1-LC8
IR emitter/detector pair,3mm THT,8,0.30,2.40,IR1-IR8
SSD1306 OLED 128x64,Module,1,2.00,2.00,U11
PN532 NFC,Module,1,3.50,3.50,U12
DS3231 RTC,SOIC-16,1,1.80,1.80,U13
LM2596-3.3,TO-263,1,1.50,1.50,U14
AP2112-3.3,SOT-223,1,0.30,0.30,U15
18650 Lipo 2600mAh,Cylindrical,1,4.00,4.00,BAT1
USB-C receptacle 3A,16-pin SMD,1,0.40,0.40,J1
WS2812B LED,5050 SMD,8,0.08,0.64,D1-D8
Magnetic reed switch,3mm THT,1,0.30,0.30,SW1
Piezo buzzer,12mm SMD,1,0.40,0.40,BZ1
CR1220 coin cell,12mm,1,0.30,0.30,BAT2
CR1220 holder,SMD,1,0.20,0.20,BH1
PCB trace antenna,2.4GHz,1,0.00,0.00,ANT1
Passives R/C/L,0402,~80,2.00,2.00,MISC
PCB 4-layer,200x180mm,1,5.00,5.00,PCB1
Carousel mechanism,3D printed,1,8.00,8.00,MECH1
Acrylic cover,Laser cut,1,3.00,3.00,MECH2
