RefDes,Part,Manufacturer,MPN,Qty,UnitCost(USD),ExtCost(USD),Notes
U1,MCU ESP32-S3,Espressif,ESP32-S3-WROOM-1-N16R8,1,3.50,3.50,Dual-core 240MHz 16MB Flash 8MB PSRAM
U2,Camera OV5640,Omnivision,OV5640-AF,1,4.20,4.20,5MP autofocus
U3,PSRAM 8MB,ISSI,IS66WVS4M8BLL,1,1.20,1.20,Frame buffer (in module)
MIC1-6,Mems Mic SPH0645LM4H-B,Knowles,SPH0645LM4H-B,6,1.80,10.80,I2S digital mems mic array
U4,LDO 3.3V RT9013,Richtek,RT9013-33GB,1,0.40,0.40,
LED1-2,IR LED 940nm 5mm,Everlight,IR914-8C,2,0.30,0.60,Night vision (invisible)
J1,USB-C 16-pin,Amphenol,12401598E412A,1,0.80,0.80,
J2,MicroSD socket,Amphenol,114-00841-68,1,0.90,0.90,Event clips storage
SW1,Shutter switch C&K,CK,PTS636SK50SMTR,1,0.30,0.30,Physical privacy shutter
LED3,Privacy LED red 0603,Lite-On,LTST-C193CKT,1,0.05,0.05,Camera active indicator
ENC1,Enclosure PC/ABS,Custom,-,1,2.00,2.00,Wall mount + shutter mechanism
MISC,Passives+PCB+lens,-,-,1,1.50,1.50,R,C,connectors,PCB,camera lens
,,Total Qty1,,22.40,22.40,
,,Total Qty10k,,,12.80,12.80,volume pricing
