RefDes,Part,Manufacturer,MPN,Qty,UnitCost(USD),ExtCost(USD),Notes
U1,MCU ESP32-C6,Espressif,ESP32-C6-WROOM-1,1,2.80,2.80,WiFi6 + BLE5.3
U2,Load Cell Amp HX711,AviaSemicon,HX711,1,0.80,0.80,24-bit ADC for 4 load cells
U3,RFID MFRC522,NXP,MFRC52202HN,1,1.50,1.50,13.56MHz ISO 14443A
U4,Stepper Driver A4988,Allegro,A4988SETRJ,1,1.20,1.20,Stepper motor driver
U5,LDO 3.3V RT9013,Richtek,RT9013-33GB,1,0.40,0.40,
U6,OLED SSD1306 0.96",Solomon,SSD1306,1,1.80,1.80,128x64 I2C display
U7,SPI Flash W25Q128,Winbond,W25Q128JVEIQ,1,0.80,0.80,Schedule cache
M1,Stepper NEMA14,StepperOnline,14HS20-1504S,1,5.00,5.00,Auger motor
LC1-4,Load Cell 1kg,Phidgets,3133_0,4,0.80,3.20,Food hopper weight 0.1g
WS1,Water Level Sensor,DFRobot,SEN0204,1,2.50,2.50,Capacitive water level
LED1,WS2812 RGB,Worldsemi,WS2812B,1,0.20,0.20,Status LED
SW1,Button 6x6mm,C&K,PTS636SK50SMTR,1,0.30,0.30,Manual feed
SW2,Reed Switch,Meder,MK03-1A66B,1,0.40,0.40,Low food detect
J1,USB-C 16-pin,Amphenol,12401598E412A,1,0.80,0.80,
BAT1,LiPo 1000mAh,PKCell,802040,1,3.00,3.00,Backup battery
HOP1,Food Hopper 2L,Custom,-,1,3.00,3.00,BPA-free container + auger
ENC1,Enclosure ABS,Custom,-,1,2.50,2.50,Kitchen-grade enclosure
MISC,Passives+PCB+hardware,-,-,1,2.50,2.50,R,C,connectors,PCB,screws
,,Total Qty1,,32.10,32.10,
,,Total Qty10k,,,18.60,18.60,volume pricing
