Item,Part,Quantity,Unit_Cost_USD,Total_Cost_USD,Source,Notes
1,nRF52840 module E73-2G4M08S1C,1,3.80,3.80,Ebyte/Mouser,BLE 5.0 MCU with mesh support 1MB flash 256KB RAM
2,BL0937 energy metering IC,1,0.60,0.60,LCSC,Single-phase V/I/PF measurement IC
3,Omron G3MB-202P solid-state relay,1,1.80,1.80,DigiKey,2A zero-crossing SSR for on-off control
4,SSD1306 0.91inch OLED I2C,1,1.50,1.50,AliExpress,128x32 OLED for power display
5,WS2812B-mini LED,1,0.10,0.10,AliExpress,Single status LED
6,Tactile button 6mm,1,0.05,0.05,LCSC,Manual toggle and BLE pairing
7,HLK-PM01 AC-DC 5V600mA,1,1.50,1.50,AliExpress,AC-DC power supply for plug-through operation
8,AMS1117-3.3 LDO,1,0.15,0.15,LCSC,5V to 3.3V regulation
9,Shunt resistor 1mOhm current sense,1,0.10,0.10,LCSC,Precision current shunt for BL0937
10,Voltage divider resistors,1,0.05,0.05,Assorted,Mains voltage scaling for BL0937
11,2-layer PCB 45x55mm,1,1.50,1.50,JLCPCB,Compact PCB fits in plug housing
12,Plug-through housing,1,1.50,1.50,AliExpress,Smart plug form factor housing
13,Resistors capacitors assorted,1,0.30,0.30,Assorted,Decoupling caps pull-ups filter
