Item,Part,Quantity,Unit_Cost_USD,Total_Cost_USD,Source,Notes
1,RP2040 dual-core M0+,1,1.00,1.00,Mouser,Dual-core Cortex-M0+ with PIO for MPPT PWM generation
2,W25Q16 2MB flash,1,0.30,0.30,LCSC,External flash for program storage
3,CC1101 module 868MHz,1,2.80,2.80,AliExpress,Sub-GHz radio link to hub
4,INA260 current sensor,2,2.50,5.00,Mouser,Bidirectional current/voltage/power sensor for solar and load
5,MAX31855 thermocouple IC,1,3.00,3.00,Mouser,Heatsink temperature monitoring via K-type thermocouple
6,K-type thermocouple,1,1.00,1.00,AliExpress,Probe for heatsink temperature
7,MCP2551 CAN transceiver,1,0.80,0.80,LCSC,BMS communication via CAN bus
8,SH1106 1.3inch OLED I2C,1,1.80,1.80,AliExpress,128x64 OLED for status display
9,Synchronous buck converter components,1,4.00,4.00,Assorted,Inductor capacitors diodes for MPPT buck
10,IR2104 half-bridge driver,1,1.00,1.00,Mouser,Gate driver for synchronous buck MOSFETs
11,IRFP4468 N-channel MOSFET,2,2.50,5.00,Mouser,100V 2.6mOhm power MOSFETs for buck converter
12,Inductor 47uH 30A,1,3.00,3.00,Coilcraft,High-current inductor for MPPT buck
13,Capacitors input/output,1,2.00,2.00,Assorted,Bulk aluminum and ceramic capacitors
14,12V fan and MOSFET driver,1,2.50,2.50,Assorted,Active cooling for heatsink
15,MP1584 buck 5V3A,1,1.00,1.00,LCSC,5V 3A buck converter from battery
16,AMS1117-3.3 LDO,1,0.15,0.15,LCSC,3.3V regulation for logic
17,MC4 connectors pair,1,0.50,0.50,AliExpress,Solar panel connection
18,Heatsink for MOSFETs,1,1.00,1.00,AliExpress,Thermal management
19,4-layer PCB 80x100mm,1,4.00,4.00,JLCPCB,Power electronics PCB
20,IP65 wall-mount enclosure,1,5.00,5.00,AliExpress,Weatherproof enclosure for outdoor installation
21,Micro USB connector,1,0.20,0.20,LCSC,Debug and programming
22,Resistors capacitors assorted,1,1.00,1.00,Assorted,Gate resistors voltage dividers decoupling
