Component,Part,Qty,UnitPrice,TotalPrice,Notes
SoC Module,ESP32-S3-WROOM-1-N8,1,3.50,3.50,8MB flash 512KB SRAM
Sub-GHz Radio,SX1262IMLTRT,1,5.80,5.80,868MHz LoRa +22dBm
FSR Sensors,Interlink FSR 400,256,0.08,20.48,16x16 matrix 0.2-2N range
Analog Mux,CD74HC4067 16:1,5,0.60,3.00,4 row + 1 col multiplexer
ADC,ADS1115 16-bit I2C,1,2.50,2.50,4-channel 860 SPS
IMU,LSM6DSO,1,3.20,3.20,Mat orientation detection
LDO,AMS1117-3.3,1,0.20,0.20,5V to 3.3V
USB-C Connector,16-pin SMT,1,0.50,0.50,Power input
SMA Antenna,868MHz whip,1,2.50,2.50,Sub-GHz antenna
LED,SK6812 RGB,1,0.15,0.15,Status indicator
PCB,2-layer flex-rigid 600x400mm,1,3.50,3.50,Large mat PCB
Connector ribbon,FFC 16-pin 30cm,2,0.40,0.80,Matrix to MCU connection
Capacitors/Resistors,Various SMD,1,0.80,0.80,Passive components
Enclosure,Rigid mat enclosure,1,0.50,0.50,600x400x8mm non-slip bottom
Total,,,,42.90,
