Component,Part,Qty,UnitPrice,TotalPrice,Notes
SoC,nRF52840 QFAA,1,4.50,4.50,BLE 5.0 1MB flash 256KB RAM
Load Cell,YZZC CZL601 50kg,1,4.00,4.00,Strain gauge 2mV/V
ADC,HX711 24-bit,1,1.50,1.50,Load cell amplifier gain 128
IMU (Accel/Gyro),LSM6DSO,1,3.20,3.20,Orientation/tempo tracking
Battery,LiPo 300mAh 3.7V,1,2.00,2.00,Rechargeable 7-day life
Charger IC,MCP73831,1,0.80,0.80,USB-C charger 100mA
Fuel Gauge,MAX17048,1,1.50,1.50,Battery monitoring I2C
Boost Converter,TPS61023,1,1.50,1.50,3.7V to 3.3V
LED,SK6812 RGB,1,0.15,0.15,Status + force indicator
PCB Antenna,2.4GHz PCB trace,1,0.00,0.00,Integrated PCB antenna
USB-C Connector,16-pin SMT,1,0.50,0.50,Charging
Button,Tactile SMD,1,0.10,0.10,Power/pairing
PCB,4-layer FR4 80x40mm,1,1.50,1.50,Handle PCB
Band,Fabric resistance band,1,2.00,2.00,Elastic band with embedded cell
Capacitors/Resistors,Various SMD,1,0.50,0.50,Passive components
Enclosure,ABS 3D-printed handle,1,1.00,1.00,80x40x20mm handle
Total,,,,18.70,
