SeizureHub_BOM — Seizure Hub (bedside coordinator)
Generated for SeizureSync system
Currency: USD, quantities for 1k build

Designator,Qnty,Part,Manufacturer,MPN,Description,Unit Cost,Extended
U1,1,ESP32-S3-WROOM-1-N16R8,Espressif,ESP32-S3-WROOM-1-N16R8,SoC dual-core 240MHz 16MB flash 8MB PSRAM,4.20,4.20
U2,1,SX1262IMLTIC,Semtech,SX1262IMLTIC,Sub-GHz 868 MHz radio transceiver LoRa capable,3.85,3.85
U3,1,MLX90640ESF-BCA,Melexis,MLX90640ESF-BCA,32x24 IR thermal array FOV 75°,12.50,12.50
U4,1,MAX30102GND+,Maxim/Analog,MAX30102GND+,PPG/SpO2 sensor I2C,2.40,2.40
U5,1,SCD41-D-R2,Sensirion,SCD41-D-R2,CO2 sensor photoacoustic I2C,3.75,3.75
U6,1,SIM7600G-C-SE,Simcom,SIM7600G-C-SE,4G LTE Cat-4 module,12.80,12.80
U7,1,UC8151d,Waveshare,UC8151d,2.9" e-ink driver 296x128,2.10,2.10
U8,3,LDT0-028K,TE Measurement,LDT0-028K,Piezo film vibration sensor,1.85,5.55
U9,1,BME280,Bosch,BME280,Temp/humidity/pressure sensor I2C,1.20,1.20
U10,1,LTC4040IM#PBF,Analog Devices,LTC4040IM#PBF,2.5A UPS power-path manager,3.40,3.40
U11,1,NanoFt2N,Infineon,Nanoflash 2N7002,N-channel MOSFET relay driver x4,0.10,0.40
BAT1,1,12V 2Ah SLA,Panasonic,LC-R122R4P,Sealed lead acid 12V 2Ah UPS battery,3.50,3.50
BAT2,1,CR2032,Any,CR2032,RTC backup coin cell,0.15,0.15
PWR,1,USB-C 5V/3A,Any,USB-C-5V3A,USB-C female 5V/3A power input,0.35,0.35
Y1,1,40 MHz crystal,Abracon,ABM8G-40.000MHz,40 MHz crystal for ESP32-S3,0.18,0.18
Y2,1,32.768 kHz crystal,Epson,Q13MC306325,32.768 kHz RTC crystal,0.10,0.10
Y3,1,32 MHz crystal,Abracon,ABM8G-32.000MHz,32 MHz crystal for SX1262,0.18,0.18
J1,1,microSD slot,Hirose,DM3D-SF,MicroSD card slot push-push,0.60,0.60
J2,1,SIM card slot,Amphenol,101-00270,SIM card holder for SIM7600G,0.40,0.40
J3,1,RP-SMA 868 MHz,Amphenol,132360,RP-SMA 868 MHz antenna connector,0.35,0.35
J4,1,U.FL 4G LTE,Amphenol,100905,4G LTE U.FL connector,0.10,0.10
ANT1,1,868 MHz whip antenna,Any,ANT-868-WHIP,868 MHz 3dBi whip antenna,0.65,0.65
ANT2,1,4G LTE antenna,Any,ANT-4G,4G LTE adhesive patch antenna,0.85,0.85
LED1,64,WS2812B,WorldSemi,WS2812B,RGB LED 8x8 matrix,0.04,2.56
REL1,1,5V relay,Omron,G5LE-1,5V PCB relay for bed-shaker,0.55,0.55
REL2,1,5V relay,Omron,G5LE-1,5V PCB relay for audio alarm,0.55,0.55
CAP1,4,10uF 0805,Any,CL21A106KAYNNNE,10uF 25V X5R 0805,0.03,0.12
CAP2,4,100nF 0603,Any,CL21B104KBCNNNC,100nF 50V X7R 0603,0.01,0.04
RES1,8,10k 0603,Any,RC0603FR-0710KL,10k 0.1W 0603 resistor,0.005,0.04
PCB,1,4-layer FR4 PCB,Any,CUSTOM,Custom 4-layer FR4 PCB 120x80mm,2.50,2.50
ENC,1,ABS enclosure,Any,CUSTOM,Custom 3D-printed ABS enclosure 140x100x40mm,1.20,1.20
,,Total,,,,48.50
