# Name,Reference,Value,Footprint,Quantity,UnitPrice,Category,Manufacturer,MPN,Datasheet
ESP32-C3-MINI-1,U1,ESP32-C3-MINI-1,Module,1,1.80,MCU Module,Espressif,ESP32-C3-MINI-1,https://www.espressif.com/sites/default/files/documentation/esp32-c3_mini-1_datasheet_en.pdf
SHT40,U2,SHT40-BD1B,DFN-4,1,2.20,Temp/Humidity,Sensirion,SHT40,https://sensirion.com/media/documents/1C610F2B/6414B2B6/Sensirion_Humidity_Sensors_SHT4x_Datasheet.pdf
SH1106,U3,SH1106,Module 128x64 I2C,1,1.80,OLED Display,Generic,SH1106-1.3,
TSAL6100,D1,TSAL6100,5mm IR LED,1,0.25,IR LED,Vishay,TSAL6100,https://www.vishay.com/docs/81009/tsal6100.pdf
SRD-05VDC-SL-C,RL1-2,SRD-05VDC-SL-C,Through-hole,2,0.40,Relay,Songle,SRD-05VDC-SL-C,
BTA16-600BW,Q1,BTA16-600BW,TO-220,1,0.80,Triac,ST,BTA16-600BW,https://www.st.com/resource/en/datasheet/bta16.pdf
PT4115,U4,PT4115,SOT-89-5,1,0.40,LED Driver,PT,PT4115,
MOC3041M,U5,MOC3041M,DIP-6,1,0.50,Optocoupler,Fairchild,MOC3041M,https://www.onsemi.com/pub/Collateral/MOC3041M-D.pdf
USB-C,J1,USB-C 16pin,SMD,1,0.35,Connector,Generic,USB-C-16pin,
AP2112-3.3,U6,AP2112-3.3,SOT-223,1,0.30,LDO,Diodes Inc,AP2112-3.3,
Tactile Button,SW1,6x6mm tactile,Through-hole,1,0.10,Button,Generic,TS-1185,
LED,LED1,0805 green,0805,1,0.05,LED,Generic,G0805,
Passives,,R/C/L 0402,0402,35,0.03,Passive,Various,,
PCB,,85x85mm 2-layer FR4,Custom,1,1.50,PCB,JLCPCB,,
Enclosure,,85x85x25mm ABS white,Injection molded,1,2.00,Enclosure,Custom,WallMount-85,
