RefDes,Part,Manufacturer,MPN,Qty,UnitCost(USD),ExtCost(USD),Notes
U1,MCU ESP32-S3,Espressif,ESP32-S3-WROOM-1-N16R8,1,3.20,3.20,16MB flash 8MB PSRAM
U2,Camera OV5640,Omnivision,OV5640-A50A,1,4.50,4.50,5MP autofocus
U3,Load Cell Amp HX711,Avia,HX711,1,1.20,1.20,24-bit ADC
U4,LDO 3.3V RT9013,Richtek,RT9013-33GB,1,0.40,0.40,
DS1,TFT ILI9341 2.4",BuyDisplay,ER-TFT024-3,1,4.50,4.50,320x240
LED1-4,White LED 5050,Cree,CLMVB-NKA,4,0.30,1.20,4000K 120lm
LED5-6,IR LED 850nm,OSRAM,SFH4715AS,2,1.10,2.20,
LED7-8,UV-A LED 405nm,Vishay,VLUV5160,2,1.30,2.60,
Q1-3,MOSFET AO3400A,Alpha,AO3400A,3,0.10,0.30,LED drivers
LC1-4,Load Cell 50kg,Phidgets,3133_0,4,3.50,14.00,wheatstone bridge
SW1,Capacitive touch,TI,AT42QT1011,1,1.00,1.00,touch button
J1,USB-C 16-pin,Amphenol,12401598E412A,1,0.80,0.80,
X1,Crystal 40MHz,Abracon,ABM8-40.000MHZ,1,0.25,0.25,OV5640
MISC,Passives+PCB+enclosure,-,-,1,2.05,2.05,R,C,acrylic,case
,,Total Qty1,,33.20,33.20,
,,Total Qty10k,,,17.80,17.80,volume
