Component,Part,Qty,Unit Price,Total,Notes
MCU Primary,ESP32-S3-WROOM-1-N8R8,1,$5.50,$5.50,8MB PSRAM 16MB Flash
MCU Radio,nRF52840-module,1,$4.20,$4.20,BLE 5.0 + SPI
Sub-GHz Radio,SX1262,1,$3.80,$3.80,868/915MHz LoRa
Display,3.5" IPS TFT ILI9488,1,$6.50,$6.50,480x320
Audio Codec,ES8388,1,$1.20,$1.20,ADC/DAC stereo
Speaker,TDM-0303K0P 3W,1,$1.50,$1.50,Full range 8ohm
Microphone,SPH0645LM4H-6,1,$2.80,$2.80,MEMS I2S digital
RTC,DS3231,1,$2.10,$2.10,±2ppm accuracy
SD Card Slot,MicroSD push-push,1,$0.50,$0.50,FAT32 logging
Battery,Li-Po 2000mAh,1,$4.50,$4.50,3.7V backup power
Charger IC,TP4056,1,$0.30,$0.30,Li-Po CC/CV charge
Buck Converter,MP28167,1,$1.20,$1.20,3.3V/2A main rail
USB-C Connector,USB-C 2.0,1,$0.40,$0.40,Power + data
RGB LEDs,WS2812B-2020,2,$0.15,$0.30,Status indicators
Piezo Buzzer,PS1240,1,$0.20,$0.20,Alarm buzzer
Crystal,32.768kHz,1,$0.15,$0.15,RTC crystal
Passives,Caps+Resistors kit,1,$1.50,$1.50,Decoupling etc
Connectors,Qwiic x2 + pin header,1,$1.00,$1.00,Expansion
PCB,4-layer FR4 100x80mm,1,$3.00,$3.00,Custom
Enclosure,Injection-molded ABS,1,$4.00,$4.00,Custom mold
,,Total,,$45.35,
